N	3gram	Voloshinov_1	Sotsiolo
1	в том что	3	2
2	в конце концов	3	2
3	по отношению к	2	2
4	марксизма в его	1	1
5	в марксистской литературе	1	1
6	это и есть	2	1
7	в настоящее время	6	1
8	а между тем	1	1
9	в наше время	1	1
10	то же самое	3	1
11	именно в том	1	1
12	сама по себе	2	1
13	не дает никаких	1	1
14	не было бы	1	1
15	друг от друга	1	1
16	в то же	3	1
17	это вовсе не	1	1
18	выходит за пределы	1	1
19	в связи с	7	1
20	на первый план	2	1
21	не выходит за	1	1
22	а в том	1	1
23	то же время	3	1
24	чуть ли не	1	1
25	не должна быть	1	1
26	с одной стороны	1	1
27	во всяком случае	2	1
28	мы переходим к	1	1
