N	3gram	Savitsky_E_1	Istorich
1	с другой стороны	2	8
2	и т д	1	8
3	с одной стороны	8	7
4	в том что	6	5
5	не только в	4	4
6	в данном случае	2	3
7	то время как	1	3
8	но так как	1	3
9	мы видели что	1	3
10	в тех случаях	1	3
11	в то время	1	3
12	тех случаях когда	1	3
13	не может быть	2	3
14	на своем пути	1	2
15	в северной америке	2	2
16	но и в	1	2
17	приводит нас к	2	2
18	в некоторых случаях	1	2
19	во всяком случае	3	2
20	можно было бы	3	2
21	как мы видели	2	2
22	в этом мире	1	1
23	следует отметить что	1	1
24	еще далеко не	1	1
25	мы хотели бы	1	1
26	того что в	2	1
27	более или менее	1	1
28	более чем в	1	1
29	через некоторое время	1	1
30	в том числе	1	1
31	нам кажется что	2	1
32	одной стороны и	6	1
33	же как и	3	1
34	в частности в	2	1
35	в одной из	1	1
36	то и другое	1	1
37	и то и	1	1
38	иначе обстоит дело	2	1
39	с тем что	1	1
40	том числе и	1	1
41	к тому чтобы	2	1
42	кроме того что	1	1
43	но и эта	1	1
44	на этот вопрос	1	1
45	с этой точки	5	1
46	то или иное	1	1
47	это может быть	1	1
48	так же как	5	1
49	чтобы ответить на	1	1
50	а также и	1	1
51	но и то	1	1
52	в последнем случае	1	1
53	в том смысле	1	1
54	этой точки зрения	5	1
55	независимо от того	1	1
56	том смысле что	1	1
57	не означает что	1	1
58	так и в	2	1
59	что наряду с	1	1
60	это значит что	1	1
61	и тем самым	1	1
62	и тем более	1	1
63	как нам кажется	5	1
64	речь идет о	1	1
65	можно сказать что	3	1
66	на то что	2	1
67	а через некоторое	1	1
68	в других случаях	1	1
69	помнить что в	1	1
70	друг с другом	3	1
71	для того чтобы	5	1
72	в себе не	1	1
73	смысле этого слова	1	1
