N	3gram	Losev_Vlad_2	Hudozhes
1	в том что	9	11
2	о том что	3	7
3	так и не	2	4
4	то же время	3	4
5	в то же	3	4
6	в самом деле	1	3
7	не может быть	1	3
8	для того чтобы	1	3
9	тем не менее	6	3
10	с точки зрения	3	2
11	до сих пор	1	2
12	и в то	1	2
13	можно было бы	2	2
14	но тем не	1	2
15	в данном случае	2	2
16	не только в	2	2
17	к тому же	1	2
18	и т д	1	2
19	уже во втором	1	1
20	да и в	1	1
21	а для того	1	1
22	то что я	1	1
23	не только об	1	1
24	то ни стало	1	1
25	что я не	1	1
26	течение всей жизни	1	1
27	дело в том	3	1
28	но то что	1	1
29	но ни о	1	1
30	в настоящее время	2	1
31	но по разным	1	1
32	и ухаживать за	1	1
33	во что бы	1	1
34	как раз и	1	1
35	и все же	2	1
36	что он уже	1	1
37	по разным причинам	1	1
38	бы то ни	1	1
39	в этом отношении	1	1
40	то и в	1	1
41	точно так же	3	1
42	едва ли может	1	1
43	не то что	2	1
44	и то что	5	1
45	из этого не	1	1
46	в это время	4	1
47	что бы то	1	1
48	в них нет	1	1
49	что это за	1	1
50	в самом начале	1	1
51	нечто такое что	1	1
52	у него в	3	1
53	и все его	1	1
54	а также и	1	1
55	него и в	2	1
56	то время как	1	1
57	так или иначе	3	1
58	в течение всей	2	1
59	еще казалось что	1	1
60	он уже не	2	1
61	за собой и	1	1
62	к той же	1	1
63	и не могла	1	1
64	как нам представляется	1	1
65	только в таком	1	1
66	и в том	1	1
67	мы читаем и	1	1
68	содержит в себе	4	1
69	что несмотря на	1	1
70	а в том	2	1
71	вместил в себя	1	1
72	заключается в том	2	1
73	в то время	6	1
74	в этом случае	1	1
75	как мы с	1	1
76	них нет ничего	1	1
77	с самого начала	1	1
78	но все же	1	1
79	можно сказать что	1	1
80	не было ни	1	1
81	все еще казалось	1	1
82	как мы знаем	4	1
83	после того как	2	1
84	можно судить по	4	1
85	что можно сказать	1	1
86	в том числе	1	1
87	в котором по	1	1
88	судить по его	1	1
89	пока еще не	1	1
