N	4gram	Bakhtin_Pr_1	Marksizm
1	бы то ни было	1	8
2	в то же время	9	3
3	лишь с точки зрения	1	2
4	но в то же	5	2
5	так же как и	1	2
6	с точки зрения ее	1	1
7	какой бы то ни	1	1
8	в большей или меньшей	1	1
9	в конце концов так	1	1
10	иначе и быть не	1	1
11	конце концов так же	1	1
12	именно в том что	1	1
13	в том что он	4	1
14	не значит конечно что	2	1
15	с другой стороны и	1	1
16	которой можно найти только	1	1
17	это не значит конечно	2	1
18	в разрезе данного мгновения	2	1
19	это и есть та	1	1
20	в неразрывной связи с	1	1
21	в его целом это	1	1
