N	3gram	Vinokur_Ku_1	Tvorches
1	в то же	2	13
2	то же время	2	12
3	в том что	15	6
4	о том что	5	5
5	что все это	1	3
6	и все же	1	3
7	в соответствии с	3	3
8	это уже не	1	2
9	на самом деле	2	2
10	в наше время	1	2
11	и т п	18	2
12	точно так же	1	2
13	по крайней мере	5	2
14	не только в	1	2
15	и в то	1	2
16	тем не менее	4	2
17	что иное как	1	1
18	чтобы мы были	1	1
19	потому что не	2	1
20	прежде всего на	1	1
21	и того же	2	1
22	чуть ли не	2	1
23	имеем в виду	1	1
24	в настоящее время	1	1
25	что же касается	4	1
26	по отношению к	8	1
27	до сих пор	4	1
28	в себе всю	1	1
29	хотя бы и	2	1
30	один из элементов	1	1
31	сами по себе	1	1
32	в отличие от	1	1
33	в первую очередь	2	1
34	а может быть	1	1
35	а вместе с	1	1
36	того же порядка	1	1
37	эта книга по	1	1
38	вовсе не нужно	1	1
39	вместе с тем	3	1
40	не то что	1	1
41	что оно не	1	1
42	том что я	1	1
43	все же и	1	1
44	с одной стороны	1	1
45	в большой степени	1	1
46	вовсе не самый	1	1
47	в связи с	3	1
48	это не значит	1	1
49	о внутренней форме	1	1
50	можно только в	1	1
51	заключается в том	2	1
52	в свою очередь	3	1
53	от мысли и	1	1
54	и в самом	2	1
55	пусть даже с	1	1
56	то что его	1	1
57	мы имеем в	1	1
58	с другой стороны	6	1
59	одного и того	2	1
60	от среды и	1	1
61	и учение о	1	1
62	не что иное	1	1
63	к тому что	2	1
64	к вопросу о	1	1
65	но тем самым	1	1
66	дело не в	1	1
67	является как бы	1	1
68	и т д	14	1
