N	2gram	Losev_Dial_4	Formalny
1	т е	46	32
2	и не	30	30
3	вовсе не	6	28
4	и в	15	27
5	может быть	17	25
6	не может	11	24
7	так и	5	21
8	и его	7	19
9	в этом	11	18
10	таким образом	5	18
11	а не	18	17
12	точки зрения	14	16
13	то же	9	15
14	в нем	5	15
15	в процессе	1	15
16	и пр	9	15
17	на самом	1	14
18	как и	7	14
19	с точки	9	14
20	не в	8	12
21	если бы	6	12
22	и т	17	11
23	в самом	2	11
24	в жизни	5	11
25	и от	1	11
26	художественное произведение	2	11
27	не могут	2	10
28	место в	1	10
29	но и	4	10
30	не только	8	9
31	лишь в	2	9
32	как его	1	9
33	так как	14	9
34	так же	4	9
35	отнюдь не	4	8
36	как бы	14	8
37	при этом	2	8
38	входит в	1	8
39	ни в	8	8
40	как мы	1	8
41	в пределах	1	8
42	только в	7	8
43	как раз	4	8
44	то что	16	8
45	и все	11	8
46	что в	7	8
47	с тем	4	7
48	не менее	2	7
49	же время	6	7
50	потому что	10	7
51	его в	1	7
52	в его	4	7
53	в том	11	7
54	если мы	5	7
55	все это	9	7
56	совершенно не	3	7
57	в то	6	7
58	действительности и	1	6
59	еще не	4	6
60	но в	3	6
61	все эти	3	6
62	т д	15	6
63	в своей	3	6
64	и ее	8	6
65	и теперь	1	6
66	все время	1	6
67	было бы	9	6
68	что он	7	6
69	с другой	1	6
70	вместе с	2	6
71	в данном	3	6
72	все же	2	6
73	и для	5	6
74	бы в	4	6
75	хотя бы	4	6
76	в своих	1	6
77	во всяком	2	6
78	в зависимости	1	5
79	зависимости от	1	5
80	в истории	3	5
81	в одной	1	5
82	что именно	7	5
83	того чтобы	5	5
84	поэтическое произведение	1	5
85	в ней	5	5
86	что они	4	5
87	в дальнейшем	1	5
88	никогда не	2	5
89	в плоскости	1	5
90	связи с	1	5
91	и их	2	5
92	и между	1	5
93	тем что	2	5
94	именно так	2	5
95	и потому	3	5
96	тому как	4	5
97	что же	2	5
98	не является	1	5
99	в результате	6	5
100	другой стороны	2	5
101	можно говорить	2	4
102	не есть	40	4
103	мы не	9	4
104	смысл и	3	4
105	как в	3	4
106	и как	4	4
107	но ведь	1	4
108	бы ни	2	4
109	подобно тому	4	4
110	то ни	4	4
111	данном случае	1	4
112	в ее	2	4
113	том что	10	4
114	по себе	13	4
115	она не	4	4
116	в смысле	5	4
117	тогда когда	5	4
118	мы можем	3	4
119	могут быть	3	4
120	роль в	1	4
121	следовательно и	1	4
122	о том	5	4
123	же и	2	4
124	конечно не	2	4
125	уже в	1	4
126	для того	5	4
127	со стороны	3	4
128	прежде всего	11	4
129	смысла и	3	4
130	до конца	1	4
131	в связи	1	4
132	мы видели	1	4
133	как это	2	4
134	да и	2	4
135	в романе	1	4
136	из этого	1	4
137	жизни и	4	4
138	же как	1	3
139	должна быть	7	3
