N	2gram	Medvedev_I_1	KulturaY
1	и в	1	23
2	в этом	2	18
3	и не	2	16
4	все эти	1	12
5	если бы	1	12
6	того чтобы	1	11
7	что в	2	10
8	для того	1	9
9	с другой	1	8
10	и с	3	7
11	другой стороны	1	7
12	все это	1	5
13	должен быть	2	5
14	по существу	1	5
15	я не	1	5
16	говорить о	1	4
17	так и	1	4
18	и о	1	4
19	ничего не	2	4
20	в них	1	4
21	того же	1	3
22	то и	1	3
23	а в	1	3
24	того что	1	3
25	нисколько не	1	3
26	тем что	1	3
27	он не	2	3
28	а также	1	3
29	тех же	1	2
30	что для	1	2
31	от этого	1	2
32	и еще	1	2
33	никогда не	1	2
34	по поводу	1	2
35	очевидно что	1	2
36	доказать что	1	2
37	только для	1	2
38	а если	1	2
39	в первую	1	1
40	в значительной	1	1
41	первую очередь	1	1
42	бы в	1	1
43	же это	1	1
44	и без	1	1
45	на котором	1	1
46	с а	1	1
47	факты и	1	1
48	для него	1	1
49	более чем	1	1
50	только что	1	1
51	по отношению	1	1
52	следовательно в	1	1
53	слишком много	1	1
54	то она	1	1
55	не здесь	1	1
56	так то	1	1
57	в руки	1	1
58	как только	1	1
59	могло бы	1	1
60	и идей	1	1
61	и др	1	1
62	в целом	1	1
63	а по	1	1
64	нам в	1	1
65	не так	1	1
66	стали бы	1	1
67	не случайно	1	1
68	во многом	1	1
69	не шучу	1	1
70	и творчества	1	1
