N	3gram	Berdyaev_N_1	slovoVRo
1	в большинстве случаев	1	6
2	во всяком случае	1	5
3	с одной стороны	2	4
4	с другой стороны	2	4
5	в зависимости от	1	3
6	выходит за пределы	1	3
7	во всех сферах	3	3
8	в том и	2	2
9	до сих пор	1	2
10	и во всех	1	2
11	и не может	1	2
12	в основе их	1	2
13	может быть только	1	2
14	то время как	1	2
15	не только в	1	2
16	в то время	1	2
17	в известном смысле	1	2
18	не могут быть	1	2
19	можно было бы	1	2
20	что все категории	1	2
21	а не к	1	1
22	прежде всего как	1	1
23	лежал в основе	1	1
24	и не в	1	1
25	в отличие от	1	1
26	но и в	1	1
27	эпох и периодов	1	1
28	должен вступить в	1	1
29	всех сферах жизни	1	1
30	и в истории	1	1
31	со всех сторон	3	1
32	в значительной степени	1	1
33	могут быть отнесены	1	1
34	к одному из	1	1
35	это не значит	2	1
36	не должно быть	1	1
37	все эти формы	2	1
38	не может быть	4	1
39	о том что	1	1
40	равно как и	2	1
41	и не могут	1	1
42	в том что	1	1
43	как и в	1	1
44	быть отнесены к	1	1
