N	2gram	Bakhtin_sl_1	DiskursI
1	в качестве	3	34
2	не только	16	28
3	в том	3	23
4	а не	15	22
5	то есть	26	20
6	том что	2	19
7	может быть	14	17
8	как и	4	16
9	и в	41	16
10	в этом	12	15
11	еще не	4	14
12	но и	16	14
13	при этом	6	13
14	по своей	1	11
15	но не	2	11
16	прежде всего	8	11
17	и не	16	11
18	как в	8	10
19	далеко не	5	10
20	с другой	5	10
21	в нем	30	9
22	не может	14	9
23	с одной	4	9
24	одной стороны	4	9
25	в частности	2	9
26	но в	8	8
27	о том	3	8
28	так и	11	8
29	а также	2	8
30	не было	3	7
31	в себе	3	7
32	то же	14	7
33	не в	7	7
34	в основе	5	7
35	роль в	2	7
36	со стороны	1	7
37	в его	13	7
38	только в	6	7
39	высказывания в	1	6
40	в своем	3	6
41	и на	14	5
42	во всех	17	5
43	отличие от	1	5
44	в котором	2	5
45	в их	4	5
46	в отличие	1	5
47	в процессе	4	5
48	в себя	1	5
49	сводится к	1	5
50	или иной	9	5
51	можно сказать	2	5
52	а с	2	5
53	в данном	3	5
54	как бы	12	5
55	к тому	3	5
56	а в	6	5
57	в своей	7	5
58	и о	2	4
59	в которых	1	4
60	с его	4	4
61	в сторону	1	4
62	отношение к	7	4
63	в истории	3	4
64	и к	5	4
65	уже не	2	4
66	в целом	2	4
67	на его	8	4
68	не как	4	4
69	лишь в	4	4
70	в них	6	4
71	привело к	1	4
72	потому что	2	4
73	могут быть	19	4
74	жанра в	4	4
75	же время	12	4
76	между тем	2	4
77	во втором	1	4
78	одной из	3	4
79	для него	3	4
80	в особенности	8	4
81	по своим	6	4
82	что не	1	4
83	связи с	2	4
84	такого рода	2	4
85	не является	2	4
86	не предполагает	2	4
87	также и	3	3
88	того же	6	3
89	и потому	4	3
90	в первом	3	3
91	жанров в	1	3
92	столь же	2	3
93	той или	9	3
94	различия между	2	3
95	в одной	1	3
96	с этим	3	3
97	перед нами	4	3
98	в самом	5	3
99	вследствие этого	1	3
100	зрения на	7	3
101	заключается в	1	3
102	это не	6	3
103	и того	1	3
104	точки зрения	16	3
105	однако в	1	3
106	бы быть	1	3
107	в то	14	3
108	к той	1	3
109	таким образом	9	3
110	свою очередь	2	3
111	в ее	2	3
112	не с	2	3
113	и даже	6	3
114	или на	1	3
115	что и	1	3
116	существенную роль	1	3
117	хотя бы	3	3
118	из них	3	3
119	к ним	1	3
120	автор и	2	3
121	именно в	3	3
122	мира в	1	3
123	по своему	2	3
124	того что	3	3
125	один из	4	3
126	все же	7	3
127	в свою	3	3
128	на смену	1	3
129	сказать что	2	3
130	другой стороны	4	3
131	говорящего к	1	3
132	в действительности	1	3
133	одним из	4	2
134	например в	2	2
135	к данному	1	2
136	и есть	1	2
137	к другому	1	2
138	для своего	1	2
139	мы имеем	1	2
140	в сущности	13	2
141	в виду	1	2
142	слово не	2	2
143	между собой	2	2
144	влияния на	3	2
145	в различных	1	2
146	но как	1	2
147	высказывания с	1	2
148	в новом	1	2
149	за пределы	4	2
150	себя в	9	2
151	стороны и	1	2
152	как к	2	2
153	хотя и	2	2
154	сознания в	1	2
155	целый ряд	1	2
156	более или	3	2
157	жанра и	1	2
158	эти жанры	2	2
159	в этой	1	2
160	эпохи и	2	2
161	высказывания не	2	2
162	так сказать	5	2
163	становления и	1	2
164	этого жанра	2	2
165	и по	2	2
166	на этом	2	2
167	диалогические отношения	2	2
168	человека в	1	2
169	в каждом	4	2
170	могла бы	1	2
171	различие между	1	2
172	ни чисто	1	2
173	того или	2	2
174	и тем	2	2
175	или менее	3	2
176	определяющую его	1	2
177	наших дней	1	2
178	и без	1	2
179	о романе	1	2
180	не от	1	2
181	жанров не	1	2
182	по крайней	1	2
183	то с	1	2
184	не менее	1	2
185	дело не	2	2
186	внутренней речи	3	2
187	к такому	1	2
188	не могло	3	2
189	и его	14	2
190	жанры в	1	2
191	крайней мере	1	2
192	отличается от	1	2
193	значительной степени	1	2
194	не есть	2	2
195	оно не	6	2
196	и он	1	2
197	в едином	1	2
198	как мы	8	2
199	с ее	4	2
200	данном случае	3	2
201	языка и	12	2
202	характер и	1	2
203	в пределах	14	2
204	приводит к	1	2
205	и иные	1	2
