N	3gram	Losev_Vlad_1	Tvorches
1	и т д	2	11
2	там же с	10	9
3	то же время	4	7
4	в то же	4	7
5	не может быть	3	3
6	в самом деле	1	2
7	и не может	1	2
8	и в то	2	2
9	в том же	1	2
10	во всяком случае	2	2
11	с другой стороны	3	2
12	т ii с	3	2
13	и в году	1	2
14	так и в	1	2
15	о том что	7	2
16	в целом и	1	2
17	письма т ii	3	2
18	в том что	7	2
19	том что в	3	1
20	нет и не	1	1
21	в чем не	1	1
22	в которой он	1	1
23	потому что в	1	1
24	я никогда не	1	1
25	дело в том	4	1
26	н к михайловского	2	1
27	и потому что	3	1
28	января года в	1	1
29	был склонен к	1	1
30	в дальнейшем мы	1	1
31	по возвращении в	1	1
32	в этой борьбе	1	1
33	и в дальнейшем	1	1
34	года он писал	2	1
35	все это признаки	1	1
36	в письме к	8	1
37	апреля года в	1	1
38	большую роль в	1	1
39	об этом не	1	1
40	в году он	4	1
41	выше мы уже	2	1
42	и с а	1	1
43	и что в	1	1
44	только то что	1	1
45	что он сам	1	1
46	и тут же	1	1
47	н к михайловский	1	1
48	но в то	1	1
49	в году в	2	1
50	с соловьев в	1	1
51	в году и	2	1
52	и в этом	1	1
53	а с другой	1	1
54	нам представляется что	1	1
55	так и не	1	1
56	в свою очередь	1	1
57	в связи с	1	1
58	это человек с	1	1
59	к тому же	2	1
60	что у него	2	1
61	кто из них	1	1
62	в то время	2	1
63	тем самым свое	1	1
64	ни в чем	1	1
65	что он был	1	1
66	некоторое представление о	1	1
67	это и есть	1	1
68	т д в	1	1
69	и никогда не	1	1
70	т i с	2	1
71	но отнюдь не	1	1
72	мы знаем что	2	1
73	сразу же после	1	1
74	содержит в себе	1	1
75	в конце своей	1	1
76	и в литературе	1	1
77	но это не	1	1
78	от декабря года	1	1
79	и в том	1	1
80	в конце жизни	1	1
81	с детьми в	1	1
82	же время с	1	1
83	на другой день	1	1
