N	3gram	Losev_Prob_2	StatiiOP
1	и т д	6	21
2	в том что	4	17
3	о том что	14	11
4	для того чтобы	2	10
5	можно было бы	2	8
6	до сих пор	4	7
7	статьи в и	1	7
8	в этом отношении	1	7
9	на самом деле	2	6
10	в данном случае	5	6
11	с другой стороны	5	6
12	во всяком случае	10	6
13	в самом деле	2	5
14	в этой области	3	5
15	не может быть	3	5
16	на эту тему	2	4
17	не только в	2	4
18	так и в	1	4
19	того или иного	5	4
20	на то что	4	4
21	в то же	4	4
22	том что в	2	3
23	только в том	4	3
24	то или иное	2	3
25	так же как	1	3
26	и в этом	3	3
27	заключается в том	2	3
28	ничего общего с	2	3
29	но все же	1	3
30	и только в	1	3
31	в свое время	1	2
32	эту тему в	1	2
33	одним и тем	1	2
34	в том числе	2	2
35	в этом случае	7	2
36	и в данном	2	2
37	хотя бы и	3	2
38	но и в	3	2
39	и то что	7	2
40	что в нем	1	2
41	том числе и	2	2
42	может быть и	2	2
43	по крайней мере	6	2
44	то обстоятельство что	1	2
45	при таком положении	1	2
46	это прежде всего	1	2
47	с одной стороны	5	2
48	в то время	1	2
49	имеет ничего общего	2	2
50	так или иначе	6	2
51	не имеет ничего	2	2
52	вовсе не только	1	2
53	то что в	1	2
54	в данном месте	1	2
55	вообще не существует	1	2
56	и тем же	1	2
57	таком положении дела	1	2
58	вопрос о том	2	2
59	по этому поводу	2	2
60	тем не менее	12	2
61	должны были бы	2	1
62	как и вообще	1	1
63	однако и в	1	1
64	ясно что ни	1	1
65	на том что	1	1
66	что ведь и	1	1
67	не может не	1	1
68	как в отношении	1	1
69	и какой бы	1	1
70	в той или	1	1
71	той или иной	1	1
72	если я скажу	1	1
73	и что поэтому	1	1
74	указание на то	1	1
75	то ни стало	1	1
76	чтобы можно было	1	1
77	так же и	2	1
78	это слово в	1	1
79	очень и очень	1	1
80	далеко не все	1	1
81	не говоря уже	4	1
82	в настоящее время	16	1
83	также и в	1	1
84	в этом смысле	5	1
85	свидетельствует о том	1	1
86	несколько слов о	1	1
87	является не только	1	1
88	же как и	1	1
89	не так уж	2	1
90	потому что не	1	1
91	во что бы	1	1
92	мы теперь должны	1	1
93	и можно ли	1	1
94	самым простым и	1	1
95	но для нас	1	1
96	в крайнем случае	2	1
97	говоря уже о	4	1
98	в зависимости от	1	1
99	сами по себе	2	1
100	но это их	1	1
101	также и то	2	1
102	бы то ни	2	1
103	а может быть	2	1
104	только то что	3	1
105	вовсе не один	1	1
106	или иначе но	1	1
107	случае в число	1	1
108	это вовсе не	1	1
109	точно так же	3	1
110	может быть даже	1	1
111	вовсе не так	1	1
112	является для нас	1	1
113	с самого же	1	1
114	и вовсе не	4	1
115	в том случае	2	1
116	и в этих	1	1
117	ту или иную	1	1
118	это может быть	1	1
119	что бы то	1	1
120	о том как	1	1
121	бы все же	1	1
122	то время как	1	1
123	и в своих	1	1
124	представление о том	1	1
125	содержит в себе	2	1
126	можно даже сказать	1	1
127	общего с этими	1	1
128	самого же начала	1	1
129	у нас не	2	1
130	то что она	2	1
131	ясно что при	1	1
132	и в то	1	1
133	говорить о том	1	1
134	и в отношении	1	1
135	как будто бы	5	1
136	то тем самым	1	1
137	но даже и	1	1
138	а с другой	1	1
139	нужно было бы	1	1
140	всяком случае не	2	1
141	в каком случае	3	1
142	уже о том	1	1
143	но как бы	1	1
144	с нашей точки	1	1
145	а вовсе не	1	1
146	кажется что все	1	1
147	всему тому что	1	1
148	а на самом	1	1
149	вовсе еще не	1	1
150	только в ней	1	1
151	что же это	1	1
152	что у нас	1	1
153	не менее и	1	1
154	а в том	1	1
155	который заключается в	1	1
156	ни в каком	4	1
157	и не имеет	1	1
158	быть даже и	1	1
159	что при условии	1	1
160	даже и в	3	1
161	но то что	1	1
162	те или иные	3	1
163	хотя бы в	1	1
164	и не может	1	1
165	ни о каком	1	1
166	еще очень и	1	1
167	является к сожалению	1	1
168	мысль о том	2	1
169	может быть никакого	1	1
170	нашей точки зрения	1	1
171	же это за	1	1
172	потому что ведь	1	1
173	каком случае не	2	1
174	в каждом из	1	1
175	друг от друга	2	1
176	гораздо ближе к	1	1
177	случае и в	1	1
178	как мы говорим	1	1
179	в вопросе о	1	1
180	в то или	1	1
181	но это не	1	1
182	в узком смысле	1	1
183	так что в	2	1
184	у нас сейчас	2	1
185	свое законное место	1	1
186	нет и речи	1	1
187	во многих отношениях	1	1
188	внимание на то	1	1
189	вовсе не является	3	1
190	как о чем-то	1	1
191	не имел бы	1	1
192	может не быть	1	1
193	в конце концов	7	1
194	том что и	1	1
195	своего изложения и	1	1
196	не только все	1	1
