N	2gram	Propp_Isto_3	VLabPisa
1	таким образом	10	27
2	в этом	17	26
3	и в	22	25
4	и т	16	24
5	не только	14	22
6	может быть	11	21
7	хотя бы	1	20
8	и не	12	19
9	художественного творчества	1	18
10	не может	4	17
11	т е	16	17
12	т д	15	15
13	в его	3	15
14	в том	9	13
15	прежде всего	3	13
16	в частности	5	12
17	как это	4	12
18	все это	1	12
19	в силу	2	11
20	с другой	7	11
21	из них	7	11
22	в качестве	2	10
23	о том	3	10
24	то же	6	9
25	что в	15	9
26	об этом	1	9
27	по этому	1	9
28	но и	12	9
29	и др	2	9
30	к этому	7	9
31	в своем	2	8
32	ни один	2	8
33	все эти	4	8
34	не следует	1	8
35	другой стороны	7	8
36	могут быть	5	8
37	говорит и	2	8
38	по отношению	2	7
39	из этих	3	7
40	было бы	3	7
41	как и	3	7
42	том что	8	7
43	говорит о	1	7
44	не было	2	7
45	а не	6	7
46	вместе с	9	7
47	же в	2	7
48	отношению к	2	7
49	это и	1	6
50	в нем	9	6
51	главным образом	1	6
52	это не	6	6
53	их в	3	6
54	и его	4	6
55	в то	2	6
56	так и	2	6
57	в порядке	1	6
58	между тем	2	6
59	у него	3	6
60	в основном	1	6
61	то что	7	6
62	одним из	4	5
63	и есть	2	5
64	действительности и	1	5
65	как говорит	1	5
66	все же	5	5
67	в пределах	4	5
68	в плане	1	5
69	не в	4	5
70	связи с	6	5
71	один из	5	5
72	как бы	1	5
73	сказать что	3	5
74	только в	4	5
75	их и	3	4
76	в этой	5	4
77	чем же	1	4
78	перед нами	1	4
79	в целом	3	4
80	в них	6	4
81	даже в	2	4
82	одна из	2	4
83	никогда не	3	4
84	говорит следующее	1	4
85	вот почему	2	4
86	к тому	3	4
87	утверждать что	2	4
88	в ее	1	4
89	можно сказать	2	4
90	с ними	3	4
91	что он	9	4
92	в нашей	1	4
93	в одном	2	4
94	в связи	3	4
95	равно как	3	4
96	в своей	1	4
97	например в	2	3
98	человека и	1	3
99	в котором	2	3
100	его не	3	3
