N	3gram	Tiupa_Anal_1	Istorich
1	до сих пор	1	6
2	вместе с тем	1	5
3	мы имеем в	1	5
4	в том что	9	5
5	не только в	1	4
6	в связи с	1	4
7	по отношению к	5	3
8	подобно тому как	3	3
9	с одной стороны	3	3
10	что иное как	5	2
11	но и в	2	2
12	не что иное	4	2
13	с другой стороны	2	2
14	не может быть	16	2
15	о том что	3	2
16	и вместе с	1	2
17	дело не в	1	2
18	к тому же	4	2
19	о том как	1	1
20	не в состоянии	1	1
21	при встрече с	2	1
22	и не могут	1	1
23	следует понимать как	1	1
24	и той же	1	1
25	в обратном порядке	1	1
26	дело не только	1	1
27	таит в себе	1	1
28	в зависимости от	1	1
29	сам по себе	1	1
30	в отличие от	6	1
31	вполне могла бы	1	1
32	в то что	1	1
33	не сам по	1	1
34	связь с другими	1	1
35	в какой это	1	1
36	уже потому что	1	1
37	не подлежит никакому	1	1
38	смысле этого слова	1	1
39	и то же	1	1
40	отца к сыну	1	1
41	собой не только	1	1
42	в этой связи	1	1
43	как мы увидим	1	1
44	в себе в	1	1
45	на вопрос о	1	1
46	есть не что	3	1
47	тем самым и	1	1
48	а тем самым	1	1
49	одной и той	1	1
50	в силу своей	2	1
51	друг с другом	1	1
52	том что он	2	1
