N	3gram	Tiupa_Disk_2	UchenyiS
1	в конечном счете	1	4
2	не может быть	3	4
3	с другой стороны	1	3
4	то же время	5	3
5	бы то ни	1	3
6	в то же	4	3
7	то ни было	1	3
8	не могут быть	1	2
9	в самом деле	1	2
10	в этом отношении	4	2
11	на каждом шагу	1	2
12	в том что	6	2
13	по крайней мере	1	2
14	и то что	2	2
15	и в частности	1	2
16	но прежде всего	1	1
17	или по крайней	1	1
18	другой стороны в	1	1
19	не в том	1	1
20	равно как и	1	1
21	в этом случае	2	1
22	претендует на роль	1	1
23	и в то	1	1
24	все же остается	1	1
25	в первую очередь	2	1
26	в качестве героя	1	1
27	жанра но и	2	1
28	но это не	1	1
29	и прежде всего	2	1
30	можно сказать что	1	1
31	художественного произведения как	1	1
32	на большую значимость	2	1
33	в данном случае	6	1
34	тем что он	1	1
35	с одной стороны	4	1
36	на первый взгляд	2	1
