N	2gram	Vinokur_St_1	Formalny
1	т е	15	32
2	и не	16	30
3	вовсе не	19	28
4	и в	44	27
5	может быть	15	25
6	не может	8	24
7	так и	9	21
8	и его	8	19
9	в этом	21	18
10	таким образом	7	18
11	а не	16	17
12	самом деле	11	16
13	точки зрения	11	16
14	то же	5	15
15	в нем	5	15
16	в процессе	1	15
17	на самом	6	14
18	как и	9	14
19	с точки	8	14
20	не в	12	12
21	если бы	9	12
22	и т	30	11
23	в самом	7	11
24	и от	1	11
25	не могут	1	10
26	место в	1	10
27	но и	10	10
28	не только	18	9
29	лишь в	3	9
30	так как	5	9
31	так же	5	9
32	как бы	4	8
33	при этом	2	8
34	входит в	1	8
35	ни в	3	8
36	как мы	1	8
37	только в	10	8
38	как раз	4	8
39	то что	18	8
40	и все	2	8
41	что в	30	8
42	художественного произведения	1	7
43	тем же	3	7
44	с тем	1	7
45	не менее	5	7
46	же время	4	7
47	потому что	6	7
48	его в	2	7
49	между тем	3	7
50	в его	9	7
51	в том	36	7
52	для них	1	7
53	если мы	1	7
54	там где	5	7
55	все это	5	7
56	совершенно не	5	7
57	в то	9	7
58	здесь и	1	6
59	еще не	3	6
60	и понимания	1	6
61	но в	10	6
62	все эти	5	6
63	т д	21	6
64	в своей	6	6
65	всяком случае	6	6
66	произведения в	2	6
67	было бы	17	6
68	что он	10	6
69	с другой	9	6
70	более того	1	6
71	вместе с	1	6
72	в данном	14	6
73	все же	8	6
74	и для	3	6
75	бы в	1	6
76	истории литературы	2	6
77	хотя бы	6	6
78	в своих	2	6
79	во всяком	6	6
80	в зависимости	1	5
81	зависимости от	1	5
82	совсем не	2	5
83	но не	3	5
84	в истории	3	5
85	в одной	1	5
86	что именно	1	5
87	без исключения	1	5
88	в каждом	3	5
89	того чтобы	11	5
90	в ней	3	5
91	что они	7	5
92	никогда не	5	5
93	и их	2	5
94	т п	9	5
95	тем что	5	5
96	именно так	1	5
97	и потому	2	5
98	что же	6	5
99	не является	3	5
100	в результате	3	5
101	другой стороны	7	5
102	можно говорить	1	4
103	мы не	2	4
104	он был	3	4
105	бы то	1	4
106	как в	13	4
107	в целом	5	4
108	является лишь	1	4
109	и те	2	4
110	но ведь	8	4
111	а вовсе	1	4
112	на ее	1	4
113	бы ни	1	4
114	в корне	1	4
115	то ни	1	4
116	данном случае	6	4
117	в ее	4	4
118	в слове	5	4
119	том что	29	4
120	по себе	1	4
121	она не	2	4
122	тогда когда	1	4
123	и является	1	4
124	могут быть	5	4
125	к тому	1	4
126	о том	17	4
127	же и	4	4
128	конечно не	2	4
129	уже в	2	4
130	для того	10	4
131	со стороны	6	4
132	прежде всего	7	4
133	до конца	1	4
134	как это	4	4
135	да и	3	4
136	между собой	1	4
137	от всех	1	4
138	из этого	1	4
139	жизни и	5	4
140	они не	1	4
141	же как	3	3
142	того же	3	3
143	должна быть	3	3
144	той же	5	3
145	в виду	1	3
146	литературы и	2	3
147	и на	1	3
148	в которых	5	3
149	столь же	4	3
150	время в	1	3
151	во всех	8	3
152	нет и	1	3
153	бы и	4	3
154	что это	4	3
155	в себе	2	3
156	зрения его	1	3
157	и с	3	3
158	материала и	2	3
159	это не	8	3
160	и тем	3	3
161	в плоскость	1	3
162	в этих	2	3
163	никаких оснований	2	3
164	и более	2	3
165	по отношению	3	3
166	тому что	3	3
167	случае в	4	3
168	в основе	3	3
169	для нас	7	3
170	этом отношении	7	3
171	оно не	1	3
172	только то	1	3
173	ясно что	10	3
174	еще в	1	3
175	в эпоху	2	3
176	и что	4	3
177	можно сказать	1	3
178	их в	2	3
179	в них	1	3
180	дело с	2	3
181	в какой	3	3
182	уже не	1	3
183	его и	1	3
184	нуждается в	1	3
185	наука о	1	3
186	в конце	3	3
187	слово как	1	3
188	не о	1	3
189	у нас	11	3
190	не на	1	3
191	к его	1	3
192	в той	6	3
193	того что	9	3
