N	3gram	Potebnia_M_1	OGranits
1	с точки зрения	3	5
2	не может быть	9	4
3	по отношению к	13	3
4	что иное как	2	2
5	но так как	1	2
6	с одной стороны	3	2
7	с другой стороны	5	2
8	с самого начала	3	2
9	nihil est in	1	2
10	не что иное	2	2
11	в том что	13	2
12	примыкает к тому	1	1
13	только потому что	2	1
14	этой точки зрения	1	1
15	там где нет	1	1
16	более или менее	1	1
17	на самом деле	1	1
18	подобно тому как	3	1
19	дойти до того	1	1
20	intellectu quod non	1	1
21	между тем как	1	1
22	не было бы	1	1
23	только то что	1	1
24	в этом отношении	1	1
25	то что в	1	1
26	язык во всем	2	1
27	в собственном смысле	1	1
28	можно было бы	1	1
29	с этой точки	1	1
30	по себе а	1	1
31	est in intellectu	1	1
32	для того чтобы	2	1
33	так же как	1	1
34	может быть не	1	1
35	если бы мы	1	1
36	но в действительности	1	1
37	одно другим но	1	1
38	том что язык	1	1
39	тем не менее	6	1
40	и как бы	3	1
41	в связи с	1	1
42	отношению к другим	1	1
43	само по себе	4	1
44	быть сведены к	1	1
45	все то что	2	1
46	до такой степени	1	1
47	не мог бы	1	1
48	во всем своем	1	1
49	в разных местах	1	1
50	то же время	3	1
51	то не только	1	1
52	in intellectu quod	1	1
53	но тем не	3	1
54	мы не можем	1	1
55	таким образом мы	1	1
56	заключена только в	1	1
57	мы видим у	1	1
58	несмотря на все	1	1
59	ключ ко всем	1	1
60	возможно только в	1	1
61	на то что	1	1
62	в то же	3	1
63	в каждом отдельном	1	1
64	говорить и о	1	1
65	к тому что	2	1
66	не может в	1	1
67	как и в	2	1
68	ко всем тайнам	1	1
