N	3gram	Propp_Isto_3	TeoriaLi
1	по отношению к	2	8
2	в том что	5	6
3	в данном случае	3	5
4	состоит в том	2	4
5	с другой стороны	7	3
6	тем не менее	5	3
7	можно сказать что	1	3
8	в свою очередь	1	3
9	мы имеем дело	1	2
10	в соответствии с	1	2
11	с точки зрения	1	2
12	с одной стороны	2	2
13	так или иначе	1	2
14	что они хотят	1	2
15	не только не	2	2
16	не может быть	1	2
17	как и в	2	2
18	но прежде всего	1	1
19	том что в	2	1
20	мы видим в	1	1
21	этой точки зрения	1	1
22	а не с	1	1
23	друг другу и	1	1
24	подобно тому как	1	1
25	в том числе	1	1
26	в этом случае	5	1
27	в таком случае	1	1
28	только то что	1	1
29	из того что	1	1
30	точно так же	2	1
31	и здесь мы	2	1
32	случае мы имеем	1	1
33	может быть и	1	1
34	здесь мы имеем	3	1
35	в чем состоит	1	1
36	к своему собственному	1	1
37	таким образом и	2	1
38	он не будет	1	1
39	в себя и	1	1
40	мы имеем не	2	1
41	имеем дело с	1	1
42	в связи с	3	1
43	так что она	2	1
44	перед тем как	1	1
45	так же как	1	1
46	а после того	1	1
47	в то время	2	1
48	с этой точки	1	1
49	это и есть	1	1
50	о том что	2	1
51	и прежде всего	1	1
52	мы имеем в	2	1
53	в этих случаях	7	1
54	в большинстве случаев	1	1
55	к тому же	2	1
56	и вот он	1	1
