N	2gram	Tiupa_Disk_2	Analitik
1	в качестве	16	31
2	может быть	16	29
3	в том	8	27
4	не может	9	22
5	и не	15	21
6	в частности	12	19
7	и в	16	18
8	но и	11	17
9	а не	14	17
10	представляет собой	11	16
11	отнюдь не	6	15
12	не только	10	15
13	тогда как	11	14
14	не в	3	14
15	коммуникативного события	5	14
16	в этом	16	13
17	как и	16	13
18	в его	3	13
19	при этом	17	12
20	том что	10	12
21	в себе	19	11
22	то есть	12	11
23	состоит в	16	11
24	произведения в	1	11
25	эстетического объекта	1	11
26	но не	7	10
27	художественного целого	4	10
28	то же	6	9
29	иначе говоря	3	9
30	в то	5	9
31	а в	2	9
32	есть не	1	8
33	в принципе	2	8
34	в мире	11	8
35	эстетического отношения	1	8
36	но в	11	8
37	в той	2	8
38	не есть	1	8
39	значении этого	2	7
40	произведения как	2	7
41	тем самым	6	7
42	к тому	1	7
43	особого рода	1	7
44	я и	4	6
45	перед лицом	2	6
46	мы имеем	2	6
47	в сущности	1	6
48	по отношению	4	6
49	отличие от	12	6
50	в самом	1	6
51	в случае	1	6
52	это не	3	6
53	далеко не	2	6
54	точки зрения	4	6
55	в своей	6	6
56	в отличие	12	6
57	в основе	4	6
58	по своей	6	6
59	той или	3	6
60	должен быть	1	6
61	в себя	2	6
62	времени и	2	6
63	коммуникативное событие	3	6
64	же время	5	6
65	только в	3	6
66	себя в	6	6
67	то что	5	6
68	или иной	3	6
69	прежде всего	7	6
70	художественного произведения	1	5
71	и на	5	5
72	и как	3	5
73	в целом	2	5
74	в этой	4	5
75	внутренней речи	3	5
76	лишь в	1	5
77	и его	3	5
78	имеет место	1	5
79	о том	4	5
80	сводится к	2	5
81	художественный текст	1	5
82	в тексте	3	5
83	и того	3	5
84	между тем	2	5
85	и т.п	12	5
86	такого рода	9	5
87	как бы	4	5
88	отношению к	4	5
89	и состоит	2	5
90	что в	5	5
91	того же	2	4
92	из того	1	4
93	целого в	1	4
94	столь же	3	4
95	более чем	2	4
96	все же	6	4
97	не следует	3	4
98	с точки	2	4
99	и другого	2	4
100	и более	1	4
101	имеем дело	1	4
102	в области	2	4
103	ни в	7	4
104	могут быть	3	4
105	текста а	3	4
106	так и	9	4
107	не с	2	4
108	с ним	1	4
109	как правило	1	4
110	в другом	3	4
111	с другой	5	4
112	в конечном	1	4
113	того что	1	4
114	уже не	3	4
115	конечном счете	1	4
116	именно в	2	4
117	себя и	1	4
118	вместе с	2	4
119	из которых	1	4
120	исходя из	1	4
121	не более	2	4
122	ни было	1	4
123	одним из	1	3
124	мере в	1	3
125	и есть	1	3
126	место в	2	3
127	это всегда	1	3
128	в полной	1	3
129	бы то	1	3
130	во внешнем	1	3
131	если в	1	3
132	в рамках	7	3
133	что как	2	3
134	однако не	1	3
135	в нашем	1	3
136	в нем	7	3
137	он не	3	3
138	вследствие этого	2	3
139	по природе	2	3
140	в силу	1	3
141	подобно тому	2	3
142	таким образом	1	3
143	то ни	1	3
144	полной мере	1	3
145	того или	1	3
146	организации художественного	1	3
147	даже в	1	3
148	ведет к	3	3
149	в ходе	2	3
150	в котором	3	3
151	своего рода	10	3
152	всякий раз	2	3
153	художественное восприятие	1	3
154	дело не	1	3
155	того и	2	3
156	в текст	1	3
157	о нем	1	3
158	как будто	3	3
159	не могут	1	3
160	в собственном	1	3
161	а также	8	3
162	с его	6	3
163	еще не	6	3
164	организации текста	1	3
165	с одной	4	3
166	что и	2	3
167	не случайно	1	3
168	принципиально не	1	3
169	референтной и	1	3
170	одной стороны	4	3
171	другого в	2	3
172	а с	5	3
173	более того	1	3
174	личности в	2	3
175	по мысли	6	3
176	человек в	1	3
177	тому как	2	3
178	в культуре	1	3
179	объекта и	2	3
180	которая в	2	3
181	и одновременно	2	3
182	и все	3	3
183	будто бы	1	3
184	я в	5	3
185	в равной	1	3
186	что он	2	3
187	или иного	2	3
188	том числе	1	3
189	самом деле	1	2
190	в первом	1	2
191	также и	3	2
192	той же	2	2
193	жизненной позиции	3	2
194	и то	4	2
195	же мере	1	2
196	события в	1	2
197	иного рода	1	2
198	данном случае	6	2
199	в противовес	5	2
200	отношение к	2	2
201	произведение не	1	2
202	не просто	1	2
203	за пределы	1	2
204	до его	1	2
205	как уже	2	2
206	другой личности	1	2
207	в противоположность	5	2
208	то в	1	2
209	в которой	1	2
210	как художественного	1	2
211	природе своей	2	2
212	дискурса как	1	2
213	все эти	3	2
214	бы не	1	2
215	из этих	3	2
216	рассказ о	2	2
217	а напротив	1	2
218	и до	1	2
219	одному из	1	2
220	не к	2	2
221	качестве своего	1	2
222	художественного высказывания	1	2
223	силу своей	1	2
224	из виду	3	2
225	смертью в	1	2
226	на этом	1	2
