N	2gram	Ircho_Kome_2	Otkroven
1	у него	4	22
2	и в	26	19
3	но и	10	13
4	и не	14	13
5	в этом	10	12
6	человека в	3	11
7	не в	2	11
8	не только	7	11
9	может быть	11	11
10	а не	1	11
11	вопрос о	3	10
12	в нем	6	10
13	и все	2	10
14	в самой	3	9
15	прежде всего	4	9
16	к человеку	1	9
17	не было	3	9
18	никогда не	1	9
19	потому что	6	9
20	он был	2	8
21	в его	4	7
22	он не	2	7
23	до конца	1	7
24	ни с	1	7
25	нет ничего	1	7
26	как и	4	6
27	все это	3	6
28	до самого	1	5
29	отношение к	2	5
30	в том	11	5
31	в самом	4	5
32	в этой	3	5
33	для него	1	5
34	в творчестве	1	5
35	него в	1	5
36	о его	4	5
37	а в	3	5
38	то что	6	5
39	человеку и	2	5
40	с его	5	4
41	грани и	1	4
42	все эти	1	4
43	что не	1	4
44	не может	3	4
45	т е	1	4
46	того чтобы	6	4
47	и его	12	4
48	что в	9	4
49	и есть	2	3
50	о том	6	3
51	еще не	6	3
52	к нему	3	3
53	человека его	1	3
54	легенде о	1	3
55	было бы	8	3
56	когда он	1	3
57	что он	5	3
58	и ее	2	3
59	в себе	1	3
60	для того	5	3
61	это было	4	3
62	это не	2	3
63	чем на	2	3
64	никто не	3	3
65	как бы	2	3
66	с ним	1	3
67	и от	4	3
68	в этих	4	3
69	хотя бы	2	3
70	все что	1	3
71	и с	5	2
72	о любви	1	2
73	в ее	2	2
74	мысль о	1	2
75	на западе	1	2
76	что у	4	2
77	так и	12	2
78	его не	1	2
79	ни у	1	2
80	по себе	1	2
81	раз уже	1	2
82	вместо того	1	2
83	и на	7	2
84	не все	1	2
85	что и	7	2
86	самого конца	1	2
87	в истории	5	2
88	же можно	2	2
89	как к	1	2
90	в своем	6	2
91	и нет	1	2
92	все же	4	2
93	сразу же	4	2
94	и к	2	2
95	человека все	1	2
96	в которой	5	2
97	в уста	2	2
98	так что	5	2
99	больше всех	1	2
100	уже в	4	2
101	что для	4	2
102	одно из	2	2
103	же это	1	2
104	которую он	1	2
105	много раз	1	2
106	так как	4	2
107	тем что	3	2
108	в других	2	2
109	в другом	1	2
110	и из	1	2
111	его в	4	2
112	сказать что	1	2
113	с тем	5	2
114	и очень	1	2
115	чем в	2	2
116	том что	9	2
117	от человека	1	2
118	к этому	5	2
119	что же	1	2
120	и там	1	2
121	то к	1	2
122	не могли	1	2
123	с которой	1	2
124	не имеет	3	2
125	у кого	1	2
126	любовь к	1	2
127	и для	4	2
128	ничего не	1	2
129	и ни	1	2
130	жизни в	1	2
131	в своей	3	2
132	всего в	2	2
133	хотя и	4	2
134	все еще	1	2
135	но в	3	2
136	бог и	2	1
137	и это	2	1
138	отношения к	1	1
139	например в	3	1
140	не делает	1	1
141	в виду	2	1
142	с кем	1	1
143	с каким	1	1
144	свои силы	1	1
145	приносит нам	1	1
146	было сделать	1	1
147	это подтверждается	1	1
148	тем же	1	1
149	из самых	2	1
150	не имеют	1	1
151	видеть в	1	1
152	можно было	4	1
153	не с	1	1
154	собой в	1	1
155	из которой	1	1
156	мы не	2	1
157	по сравнению	1	1
158	если бы	9	1
159	в эпоху	1	1
160	с утра	1	1
161	в сущности	1	1
162	богатого и	1	1
163	не вполне	2	1
164	ее у	1	1
165	кого не	1	1
166	и был	2	1
167	в ней	3	1
168	в народном	2	1
169	на примере	1	1
170	и что	2	1
171	его жизни	1	1
172	после того	2	1
173	все его	1	1
174	не приходит	2	1
175	это была	1	1
176	своих героев	1	1
177	там и	1	1
178	во внешнем	1	1
179	каждом из	1	1
180	утра до	1	1
181	самом деле	1	1
182	в которую	1	1
183	что люди	1	1
184	но не	3	1
185	то он	1	1
186	с какими	1	1
187	сравнению с	1	1
188	но нет	1	1
189	нуждается в	1	1
190	когда дело	1	1
191	противопоставляет им	1	1
192	все время	2	1
193	и я	2	1
194	в одной	2	1
195	как в	3	1
196	его собственным	1	1
197	и бесконечных	1	1
198	по содержанию	2	1
199	как например	1	1
200	в частности	4	1
201	один из	5	1
202	еще больше	1	1
203	и как	1	1
204	речь о	2	1
205	с ними	2	1
206	самом начале	2	1
207	человек совершает	1	1
208	от этого	2	1
209	трагедии и	1	1
210	не идет	1	1
211	за собой	2	1
212	и после	2	1
213	может привести	1	1
214	из жизни	1	1
215	бы и	2	1
216	что это	4	1
217	представляет собой	1	1
218	есть для	2	1
219	одно время	1	1
220	человека с	1	1
221	думать что	1	1
222	с их	4	1
223	свою тайну	3	1
224	но о	1	1
225	которой бы	1	1
226	что она	2	1
227	больше всего	1	1
228	творчестве в	1	1
229	сказать в	1	1
230	да и	3	1
231	у самого	1	1
232	речи и	1	1
233	из них	7	1
234	после этого	2	1
235	к каким	1	1
236	мир в	1	1
237	никто еще	1	1
238	человека не	1	1
239	в силу	2	1
240	в одном	2	1
241	ничего но	1	1
242	его речь	1	1
243	вовсе не	2	1
244	и сам	3	1
245	на свободу	1	1
246	у нее	2	1
247	любой из	1	1
248	его судьба	1	1
249	само по	1	1
250	вещей и	1	1
251	нее не	1	1
252	от того	2	1
253	в каждом	3	1
254	же не	2	1
255	том случае	1	1
256	и даже	1	1
257	со стороны	2	1
258	самим собой	1	1
259	интерес к	3	1
260	целью чтобы	1	1
261	он выступает	2	1
262	в глазах	2	1
263	с той	2	1
264	действующих лиц	5	1
265	приходит в	1	1
266	в жизни	1	1
267	в это	2	1
268	в бытовом	1	1
269	него из	1	1
270	говорит о	1	1
271	в них	4	1
272	а с	1	1
273	на этот	4	1
274	и самый	1	1
275	и завершает	1	1
276	попадает в	1	1
277	их взаимоотношения	1	1
278	о чем	3	1
279	ведет к	1	1
280	в мире	2	1
281	и тогда	1	1
282	над его	1	1
283	народа и	1	1
284	и страх	1	1
285	мира в	4	1
286	он и	1	1
287	в одно	1	1
288	его образ	1	1
289	не так	1	1
290	связь с	1	1
291	другой его	1	1
292	и без	1	1
293	как это	4	1
294	в котором	3	1
295	и почему	2	1
296	ничего нет	1	1
297	он говорит	1	1
298	все внимание	1	1
299	этих словах	1	1
300	в сферу	1	1
301	для многих	1	1
302	права на	1	1
303	всегда является	1	1
304	творчества это	1	1
305	всяком случае	2	1
306	и более	1	1
307	в конце	2	1
308	друг с	2	1
309	как от	1	1
310	быть не	1	1
311	его творчество	1	1
312	любви и	1	1
313	быть сопоставлен	1	1
314	и здесь	6	1
315	оба они	1	1
316	но у	1	1
317	отличается от	1	1
318	начинает с	2	1
319	того как	3	1
320	одна из	2	1
321	на два	1	1
322	ближе к	1	1
323	со всей	1	1
324	не по	4	1
325	отношениях к	1	1
326	было у	1	1
327	его творчества	1	1
328	в отношениях	1	1
329	самой жизни	1	1
330	может служить	1	1
331	в разных	1	1
332	женщине не	1	1
333	ее и	1	1
334	показывает нам	1	1
335	что их	2	1
336	бы в	2	1
337	еще более	2	1
338	для его	1	1
339	до вечера	1	1
340	за судьбу	1	1
341	по своей	1	1
342	силы в	1	1
343	в сознании	1	1
344	но всегда	1	1
345	как будто	4	1
346	иначе чем	1	1
347	с другом	2	1
348	у нас	1	1
349	и эта	1	1
350	среди них	1	1
351	но там	3	1
352	была бы	1	1
353	от всех	2	1
354	не одно	1	1
355	к его	2	1
356	и дал	1	1
357	ко всему	1	1
358	чтобы сделать	1	1
359	и всех	1	1
360	та же	1	1
361	стремлением к	1	1
362	ii в	4	1
363	его с	1	1
364	в голову	2	1
365	жизни и	3	1
366	будто бы	1	1
367	бы он	1	1
368	во всяком	2	1
369	и бесконечные	1	1
370	случае если	1	1
371	они и	1	1
372	от которой	2	1
