N	3gram	Propp_Russ_1	VerxiiNi
1	вместе с тем	6	8
2	с точки зрения	3	6
3	во всяком случае	1	6
4	друг с другом	1	5
5	о том что	4	4
6	но все же	2	4
7	точно так же	1	3
8	так же как	1	3
9	всяком случае не	1	3
10	в связи с	4	3
11	тем не менее	3	3
12	в том что	15	3
13	и связанные с	2	2
14	с тем и	2	2
15	и потому что	2	2
16	в этом отношении	1	2
17	что и те	1	2
18	не только для	1	2
19	некоторые из них	1	2
20	может быть и	2	2
21	мы должны признать	1	2
22	но вместе с	1	2
23	ничего общего с	1	2
24	можно сказать что	1	2
25	на то что	1	2
26	и в этом	1	2
27	и того же	1	1
28	есть один из	1	1
29	что в этом	2	1
30	и во время	1	1
31	сказать что в	1	1
32	к которому восходят	1	1
33	состоит в том	8	1
34	одном и том	1	1
35	уже не имеет	1	1
36	иметь в виду	1	1
37	и в китае	1	1
38	по отношению к	1	1
39	в настоящее время	3	1
40	греков и римлян	1	1
41	одного и того	1	1
42	не совсем так	1	1
43	а следовательно и	1	1
44	в таком случае	1	1
45	но и потому	1	1
46	в одном и	1	1
47	с тем что	1	1
48	при этом не	1	1
49	с этого момента	2	1
50	но и как	1	1
51	и некоторые другие	2	1
52	что в течение	1	1
53	его жизнь в	1	1
54	в данном случае	1	1
55	не потому что	1	1
56	как видно из	1	1
57	и том же	1	1
58	в отличие от	1	1
59	не только как	1	1
60	и на то	1	1
61	друг к другу	2	1
62	сливаются в одно	1	1
63	связанные с ним	1	1
64	но тем не	2	1
65	в то время	1	1
66	в свою очередь	2	1
67	в одном из	1	1
68	в чем именно	1	1
69	могут рассматриваться как	1	1
70	несмотря на все	1	1
71	не более как	1	1
72	в этой роли	1	1
73	после того как	2	1
74	мы видим что	1	1
75	на первое место	1	1
76	так как по	1	1
77	одном из своих	1	1
78	что и в	1	1
79	только тогда когда	1	1
