N	3gram	Bakhtin_Pr_1	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	11	7
4	с одной стороны	3	6
5	в конечном счете	4	5
6	в том что	3	5
7	с другой стороны	4	4
8	с точки зрения	6	3
9	в этом отношении	2	3
10	в данном случае	4	3
11	по отношению к	19	3
12	не говоря уже	1	2
13	подобно тому как	1	2
14	говоря уже о	1	2
15	и т п	13	2
16	в равной степени	1	2
17	в свое время	1	2
18	тем не менее	3	2
19	мы имеем дело	2	1
20	а не с	1	1
21	как и для	2	1
22	то же самое	2	1
23	одной стороны и	1	1
24	слова в культуре	1	1
25	и не может	2	1
26	в отличие от	5	1
27	по отношению ко	1	1
28	бы то ни	3	1
29	не могут быть	2	1
30	же время она	1	1
31	можно было бы	3	1
32	в основе своей	3	1
33	мышления о мире	1	1
34	и в то	2	1
35	в равной мере	1	1
36	дело и с	5	1
37	имеем дело с	1	1
38	в нашем случае	1	1
39	не в том	1	1
40	художественного творчества в	1	1
41	в области поэтики	1	1
42	все то что	3	1
43	а в том	1	1
44	общего для всех	1	1
45	сказать и о	2	1
46	в свою очередь	1	1
47	на самом деле	3	1
48	то есть в	1	1
49	о мире и	1	1
50	и прежде всего	5	1
51	той или иной	2	1
52	то ни было	2	1
53	к тому что	1	1
54	быть не может	1	1
55	для того чтобы	2	1
56	активности направленной на	1	1
57	и не менее	1	1
