N	2gram	Vinokur_St_2	Narrotol
1	не только	19	31
2	но и	19	27
3	и не	9	23
4	при этом	2	19
5	может быть	2	15
6	в качестве	5	14
7	в частности	4	14
8	как и	2	13
9	а не	5	13
10	а в	1	13
11	в этом	21	12
12	только в	2	12
13	и в	29	11
14	в данном	2	11
15	тогда как	2	10
16	своего рода	5	10
17	и его	6	10
18	такого рода	2	10
19	времени и	4	9
20	то что	11	9
21	то же	2	8
22	представляет собой	1	8
23	не может	2	8
24	данном случае	1	8
25	в том	27	8
26	со стороны	2	8
27	но в	8	7
28	том что	27	7
29	если бы	2	7
30	у него	1	7
31	и он	3	6
32	в самом	7	6
33	не в	4	6
34	в этой	2	6
35	в себе	2	6
36	тому же	3	6
37	об этом	6	6
38	не мог	3	6
39	к тому	10	6
40	одного из	1	6
41	во втором	1	6
42	в его	13	6
43	как бы	5	6
44	один из	1	6
45	как раз	8	6
46	или в	1	6
47	а также	2	6
48	жизни и	1	6
49	и на	6	5
50	так и	9	5
51	точки зрения	5	5
52	в своей	7	5
53	потому что	9	5
54	на другой	1	5
55	можно сказать	1	5
56	точка зрения	1	5
57	действующих лиц	4	5
58	столь же	1	5
59	в первом	1	4
60	на себя	3	4
61	еще не	1	4
62	с его	2	4
63	но не	3	4
64	как в	3	4
65	все же	6	4
66	хотя и	4	4
67	из этих	1	4
68	в нем	4	4
69	в принципе	1	4
70	из них	3	4
71	по себе	3	4
72	и тем	1	4
73	в одном	6	4
74	вплоть до	1	4
75	в то	2	4
76	одна из	1	4
77	не по	2	4
78	того чтобы	6	4
79	никогда не	3	4
80	что на	3	4
81	в ней	7	4
82	так в	1	4
83	что у	4	4
84	о том	17	4
85	внимание на	4	4
86	же время	1	4
87	того что	5	4
88	для него	4	4
89	у нее	1	4
90	прежде всего	5	4
91	из наиболее	1	4
92	о чем	5	4
93	в речи	4	4
94	этом и	1	4
95	как известно	2	3
96	речь идет	4	3
97	также и	2	3
98	и то	1	3
99	самом деле	3	3
100	идет о	3	3
