N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	41
2	то есть	12	20
3	таким образом	3	19
4	в этом	8	15
5	как и	4	14
6	то же	7	13
7	все эти	2	13
8	в этой	3	13
9	в его	6	12
10	в себе	9	11
11	как мы	1	11
12	в том	16	11
13	прежде всего	2	11
14	так и	10	10
15	в то	6	10
16	никто не	2	10
17	все это	2	10
18	в своем	4	9
19	не в	7	9
20	же время	5	9
21	и его	8	9
22	в качестве	24	9
23	и т.п	4	9
24	но и	9	9
25	что в	9	9
26	но в	9	8
27	в конце	2	8
28	то что	3	8
29	и от	1	8
30	по существу	1	8
31	в нем	4	7
32	вовсе не	3	7
33	в них	2	7
34	как бы	5	7
35	и не	13	7
36	в романе	3	7
37	и до	1	6
38	ни в	2	6
39	о том	1	6
40	мы видим	1	6
41	только в	6	6
42	это не	2	6
43	есть в	2	6
44	для него	2	6
45	у него	1	6
46	с помощью	1	6
47	все они	1	6
48	в году	1	5
49	как в	5	5
50	в эпизоде	3	5
51	и к	3	5
52	не только	16	5
53	на этом	1	5
54	точки зрения	9	5
55	потому что	3	5
56	и это	2	5
57	к нему	1	5
58	до нас	1	5
59	что и	2	5
60	вместе с	2	5
61	так же	2	5
62	и для	2	5
63	а в	13	5
64	место в	5	4
65	в сущности	1	4
66	как я	1	4
67	момент в	1	4
68	и на	1	4
69	хотя и	3	4
70	целый ряд	1	4
71	что это	1	4
72	он не	3	4
73	при виде	1	4
74	на земле	1	4
75	картины мира	1	4
76	должно быть	1	4
77	том что	9	4
78	но он	3	4
79	рядом с	1	4
80	в виду	5	4
81	в последней	1	4
82	и здесь	2	4
83	после того	1	4
84	может быть	17	4
85	в более	1	4
86	было бы	1	4
87	мира в	1	4
88	к жизни	2	4
89	мира и	1	4
90	все что	1	4
91	том числе	2	4
92	например в	1	3
93	последней главе	1	3
94	с точки	3	3
95	той же	1	3
96	я не	2	3
97	с ее	3	3
98	на них	1	3
99	во всех	1	3
100	совсем не	1	3
101	и те	1	3
102	при этом	12	3
