1	в то же	4	7
2	не только в	2	4
3	в том что	4	4
4	сами по себе	2	3
5	с одной стороны	5	3
6	в том числе	2	2
7	но и в	3	2
8	и потому в	1	2
9	одной стороны и	3	2
10	и не только	1	2
11	и в то	1	2
12	в значительной мере	3	2
13	заключается в том	2	2
14	и в частности	3	1
15	и тем более	1	1
16	только в ней	1	1
17	тот или иной	4	1
18	мы не только	2	1
19	и не может	1	1
20	хотя бы и	3	1
21	в отдельности и	1	1
22	в этом смысле	5	1
23	и то что	7	1
24	не может быть	3	1
25	совершенно ясно что	1	1
26	насколько можно судить	1	1
27	с тем чтобы	1	1
28	и в этом	3	1
29	том что в	2	1
30	да и не	1	1
31	только в условиях	1	1
32	мы не будем	1	1
33	вместе с тем	1	1
34	мы все же	3	1
35	во всяком случае	10	1
36	для того чтобы	2	1
37	само по себе	2	1
38	в самом точном	1	1
39	том числе и	2	1
40	более или менее	4	1
41	в собственном смысле	1	1
42	до тех пор	4	1
43	в частности в	2	1
44	можно говорить о	2	1
45	в каком смысле	1	1
46	никак не о	1	1
47	можно судить по	1	1
48	или хотя бы	2	1
49	и т д	6	1
50	что в этом	1	1
51	в известном смысле	1	1
52	далеко не все	1	1
53	так же как	1	1
54	есть прежде всего	4	1
55	та или иная	2	1
56	есть та или	1	1
57	и тем самым	1	1
58	с другой стороны	5	1
59	очень и очень	1	1
60	да и само	1	1
61	и м а	1	1
62	мы отнюдь не	1	1
63	к предмету в	1	1
64	в настоящее время	16	1
