N	2gram	Savitsky_E_1	PoTuStor
1	может быть	6	17
2	и в	37	16
3	в этом	12	9
4	таким образом	2	9
5	и только	3	9
6	мы можем	3	9
7	прежде всего	9	9
8	и с	2	8
9	точки зрения	23	8
10	и его	1	8
11	не может	9	8
12	с его	1	7
13	не только	18	7
14	сказать что	4	7
15	конечно не	1	6
16	при этом	1	6
17	с точки	17	6
18	и это	1	6
19	для него	1	6
20	и к	3	6
21	все эти	1	5
22	как бы	6	5
23	и ее	1	4
24	и на	6	4
25	отнюдь не	9	4
26	и наконец	2	4
27	но в	14	4
28	в этой	2	4
29	в нем	1	4
30	как мы	5	4
31	с ее	1	4
32	так и	10	4
33	можно сказать	4	4
34	в его	2	4
35	с ними	1	4
36	только в	9	4
37	для всех	1	4
38	и их	1	4
39	так как	7	4
40	и даже	6	4
41	но и	14	4
42	и не	14	4
43	и все	2	4
44	хотя бы	15	4
45	все что	1	4
46	тех же	1	3
47	во всех	6	3
48	в общем	3	3
49	и как	2	3
50	с их	1	3
51	и теперь	2	3
52	на этом	1	3
53	этом смысле	3	3
54	том что	6	3
55	в одном	2	3
56	и притом	4	3
57	в основе	1	3
58	те же	1	3
59	мира и	3	3
60	по сравнению	2	3
61	на язык	2	3
62	с другими	2	3
63	в том	11	3
64	в большинстве	2	3
65	большинстве случаев	3	3
66	мы знаем	1	3
67	всяком случае	3	3
68	даже не	1	3
69	в области	11	3
70	вместе с	2	3
71	и потому	5	3
72	как это	4	3
73	сравнению с	2	3
74	могут быть	2	3
75	что в	21	3
76	в этих	2	3
77	а в	2	3
78	то что	6	3
79	между ними	2	3
80	жизни и	2	3
81	во всяком	3	3
82	ту же	1	2
83	же как	5	2
84	доступ в	1	2
85	нам кажется	7	2
86	в самом	4	2
87	и этот	2	2
88	мы не	4	2
89	и о	1	2
90	говорить о	1	2
91	того же	3	2
92	на них	2	2
93	между собой	2	2
94	но как	2	2
95	за пределы	1	2
96	с этим	2	2
97	в этот	1	2
98	что это	2	2
99	вообще не	3	2
100	в переводе	1	2
101	он не	2	2
102	и по	5	2
103	то же	15	2
104	по своему	7	2
105	и мы	3	2
106	было бы	8	2
107	в жизни	1	2
108	кажется что	2	2
109	в них	3	2
110	как и	7	2
111	потому и	1	2
112	в своей	8	2
113	войти в	1	2
114	можем сказать	2	2
115	не менее	1	2
116	никогда не	3	2
117	только и	1	2
118	сводится к	1	2
119	так называемый	1	2
120	что на	2	2
121	в каком	4	2
122	не могут	2	2
123	что оно	1	2
124	существует только	1	2
125	не будет	3	2
126	как не	2	2
127	на основе	2	2
128	в пределах	25	2
129	как с	1	2
130	быть может	1	2
131	для этого	1	2
132	и вообще	1	2
133	с ним	1	2
