N	2gram	Bakhtin_fo_2	Freidism
1	таким образом	3	24
2	и не	9	23
3	не может	2	20
4	точки зрения	10	19
5	прежде всего	14	18
6	в этом	22	15
7	в его	8	15
8	и пр	2	15
9	с помощью	3	14
10	мы можем	1	13
11	может быть	7	13
12	и его	12	12
13	все эти	5	11
14	как и	8	11
15	с точки	8	11
16	как бы	10	11
17	то что	7	11
18	самом деле	1	10
19	но в	10	10
20	его в	6	10
21	с ним	4	10
22	как мы	6	10
23	так и	7	10
24	и потому	2	10
25	с его	1	9
26	во всех	11	9
27	и в	46	9
28	то же	8	8
29	не только	11	8
30	он не	5	8
31	в своей	1	8
32	еще не	6	8
33	что он	3	8
34	только в	11	8
35	так как	6	8
36	все это	6	8
37	и все	6	8
38	все что	2	8
39	в самом	1	7
40	мы уже	9	7
41	отношение к	3	7
42	и наконец	6	7
43	ни в	1	7
44	мы видели	2	7
45	те же	6	7
46	один из	2	7
47	тот же	3	7
48	сказать что	1	7
49	во всяком	2	7
50	в ней	1	6
51	за пределы	1	6
52	к смерти	4	6
53	так сказать	7	6
54	и с	6	6
55	на протяжении	3	6
56	и ее	1	6
57	точку зрения	1	6
58	того что	3	6
59	для него	3	6
60	вовсе не	13	6
61	никогда не	6	6
62	совершенно не	1	6
63	на самом	1	5
64	и на	7	5
65	он сам	1	5
66	в чем	1	5
67	и к	2	5
68	в этой	2	5
69	не в	9	5
70	в то	5	5
71	могут быть	2	5
72	в себя	2	5
73	но мы	1	5
74	можно сказать	2	5
75	для того	8	5
76	в большинстве	3	5
77	большинстве случаев	3	5
78	и прежде	3	5
79	а в	3	5
80	но и	9	5
81	с этим	5	5
82	его жизни	4	5
83	в свою	1	5
84	что в	5	5
85	смысле слова	2	4
86	связанных с	3	4
87	мы не	1	4
88	в которой	1	4
89	говорить о	2	4
90	совсем не	2	4
91	но не	5	4
92	все же	6	4
93	не было	3	4
94	из этих	4	4
95	в пределах	5	4
96	в нем	5	4
97	всех этих	7	4
98	на этом	2	4
99	связанные с	5	4
100	при этом	6	4
101	об этом	1	4
102	во время	10	4
103	в основе	6	4
104	же время	4	4
105	потому что	8	4
106	и для	9	4
107	к тому	3	4
108	того чтобы	8	4
109	данном случае	1	4
110	сводится к	1	4
111	характер и	1	4
112	с самого	1	4
113	конечно не	4	4
114	уже не	3	4
115	в котором	4	4
116	последнем счете	2	4
117	на которые	1	4
118	и др	5	4
119	себя и	3	4
120	в данном	2	4
121	и о	2	4
122	в этих	3	4
123	между ними	2	4
124	в последнем	2	4
125	в таком	1	4
126	человека и	4	3
127	и есть	2	3
128	на место	1	3
129	он был	2	3
130	в общем	1	3
131	как в	4	3
132	и как	3	3
133	учение о	1	3
134	всего к	1	3
135	и тот	1	3
136	в себе	4	3
137	и те	1	3
138	и вот	2	3
139	и по	3	3
140	всех своих	1	3
141	что все	2	3
142	было бы	2	3
143	мы имеем	2	3
144	очень важный	2	3
145	такой же	1	3
146	нисколько не	1	3
147	именно и	1	3
148	войти в	1	3
149	тому что	1	3
150	нет никакого	1	3
151	самого начала	1	3
152	одна из	1	3
153	на него	1	3
154	чем не	2	3
155	к себе	4	3
156	не могут	1	3
157	бы он	1	3
158	она не	2	3
159	с ее	1	3
160	свою очередь	1	3
161	всем этим	1	3
162	и этим	1	3
163	если бы	1	3
164	и смерть	4	3
165	и что	1	3
166	на всех	1	3
167	со всеми	2	3
168	себя в	1	3
169	у него	9	3
170	в них	7	3
171	и т.п	2	3
172	на этот	1	3
173	вместе с	9	3
174	по своему	2	3
175	слова и	3	3
176	и от	2	3
177	но это	2	3
178	не является	3	3
179	это как	1	3
180	когда он	1	3
181	это учение	1	3
182	не знает	2	3
183	от всех	1	3
184	жизни и	8	3
185	ее в	3	3
186	по поводу	1	3
187	отношения к	4	2
188	чтобы не	1	2
189	и то	1	2
190	сил и	1	2
191	тех же	1	2
192	это и	1	2
193	тем же	2	2
194	и до	2	2
195	для своего	1	2
196	большую роль	1	2
197	во внутреннем	1	2
198	как не	1	2
199	того же	3	2
200	и явления	1	2
201	между собой	1	2
202	в ее	1	2
203	но как	1	2
204	себе и	1	2
205	отличие от	1	2
206	большое значение	2	2
207	значение для	2	2
208	всю эту	2	2
209	опирается на	2	2
210	что как	1	2
211	в своем	5	2
212	от этого	2	2
213	в этот	3	2
214	в нашем	1	2
215	выражение в	1	2
216	человек не	2	2
217	половой акт	1	2
218	с чувством	1	2
219	в мифах	1	2
220	их в	4	2
221	или вовсе	1	2
222	но все	1	2
223	в совершенно	3	2
224	них не	1	2
225	на этой	1	2
226	это было	1	2
227	это не	2	2
228	чаще всего	1	2
229	отсюда и	2	2
230	и смерти	1	2
231	по всему	3	2
232	поэтому они	1	2
233	и уже	1	2
234	которой он	2	2
235	жизни но	2	2
236	и становится	2	2
237	том что	4	2
238	лежат в	1	2
239	в их	3	2
240	в отличие	1	2
241	сих пор	2	2
242	как это	2	2
243	в отношении	2	2
244	в таких	1	2
245	правда в	1	2
246	и притом	1	2
247	реальности и	1	2
248	человека так	1	2
249	из того	1	2
250	только с	1	2
251	этом отношении	2	2
252	за ними	4	2
253	когда мы	1	2
254	момент рождения	1	2
255	же что	1	2
256	и символы	1	2
257	для развития	1	2
258	должны быть	1	2
259	и снова	1	2
260	оно не	1	2
261	его рождения	2	2
262	для себя	1	2
263	и самое	4	2
264	образы и	1	2
265	в виду	3	2
266	на основе	3	2
267	нами выше	1	2
268	роль в	3	2
269	в глаза	1	2
270	вещи и	2	2
271	это вовсе	1	2
272	и вообще	1	2
273	в прошлое	1	2
274	в другом	3	2
275	и поэтому	1	2
276	до сих	2	2
277	этих двух	1	2
278	нуждается в	1	2
279	что и	3	2
280	которые он	1	2
281	всего этого	1	2
282	и об	1	2
283	своему содержанию	1	2
284	в него	1	2
285	мир в	4	2
286	быть и	2	2
287	мы видим	2	2
288	с одной	2	2
289	для всех	1	2
290	не можем	1	2
291	и у	5	2
292	уже в	4	2
293	и они	3	2
294	борьбы с	1	2
295	из них	8	2
296	точка зрения	3	2
297	в прошлом	3	2
298	в конце	2	2
299	рядом с	2	2
300	и даже	3	2
301	влияние на	2	2
302	с другой	2	2
303	человека в	6	2
304	здесь в	6	2
305	до конца	2	2
306	ничем не	1	2
307	них и	1	2
308	одной стороны	1	2
309	которых мы	1	2
310	более того	1	2
311	а не	4	2
312	так же	2	2
313	и связанных	1	2
314	со всею	1	2
315	в основном	8	2
316	только для	2	2
317	же самое	3	2
318	это уже	1	2
319	формы и	1	2
320	и ни	1	2
321	поэтому все	1	2
322	конце концов	1	2
323	все они	3	2
324	да и	1	2
325	связанный с	1	2
326	шутки и	1	2
327	есть и	4	2
328	в заключение	2	2
329	и другие	3	2
330	к этому	3	2
331	как на	2	2
332	они не	1	2
333	эта новая	1	1
334	ту же	2	1
335	можно говорить	1	1
336	и т	14	1
337	относится и	1	1
338	значение эти	1	1
339	так при	1	1
340	конечно с	1	1
341	права и	1	1
342	не имеют	1	1
343	оно было	2	1
344	и политическая	1	1
345	их и	1	1
346	в несколько	1	1
347	а как	1	1
348	со всех	1	1
349	на тех	1	1
350	которую мы	1	1
351	вопрос о	1	1
352	ступени развития	1	1
353	со смертью	1	1
354	впечатление от	1	1
355	и новых	1	1
356	как то	1	1
357	жизни как	2	1
358	ему в	3	1
359	в будущем	1	1
360	конечно и	1	1
361	в каждой	1	1
362	всех сторон	1	1
363	проявляется в	1	1
364	что по	1	1
365	не был	2	1
366	время в	1	1
367	без всякого	2	1
368	зрения все	1	1
369	но конечно	1	1
370	и всего	1	1
371	другой пример	3	1
372	о смерти	2	1
373	друг на	2	1
374	нем мы	1	1
375	в качестве	3	1
376	нет и	3	1
377	и речи	1	1
378	контексте в	2	1
379	что они	4	1
380	природа в	1	1
381	в настоящем	1	1
382	эту борьбу	1	1
383	в истории	4	1
384	как говорит	1	1
385	эти образы	2	1
386	первый взгляд	1	1
387	что во	1	1
388	же элементы	1	1
389	остановиться на	1	1
390	однако не	1	1
391	этом же	1	1
392	как уже	3	1
393	сделаны из	1	1
394	сторона в	1	1
395	его к	1	1
396	пример один	1	1
397	человеком в	1	1
398	но эта	2	1
399	лежит на	1	1
400	та же	3	1
401	бы и	1	1
402	и культурного	1	1
403	которую они	1	1
404	образом и	1	1
405	говорили что	1	1
406	жизни так	1	1
407	бы не	1	1
408	ее во	1	1
409	одни из	1	1
410	по преимуществу	1	1
411	только один	2	1
412	имеем в	3	1
413	о других	1	1
414	как он	2	1
415	дальше и	1	1
416	в наших	1	1
417	а вовсе	1	1
418	но прежде	1	1
419	вообще не	1	1
420	миром где	1	1
421	идей и	1	1
422	что было	3	1
423	ему этот	1	1
424	от его	1	1
425	он ни	1	1
426	т д	3	1
427	действии и	1	1
428	же это	1	1
429	человеческого тела	12	1
430	в человеческой	1	1
431	мифы о	1	1
432	новое и	3	1
433	идеологии но	1	1
434	из него	1	1
435	его от	1	1
436	важный момент	2	1
437	них свои	1	1
438	в основу	1	1
439	всех отношениях	1	1
440	ее по	1	1
441	а затем	3	1
442	жизни поэтому	1	1
443	со всем	1	1
444	данное в	1	1
445	глубокий и	1	1
446	и которые	1	1
447	говоря о	1	1
448	должен был	1	1
449	и тем	1	1
450	вина в	1	1
451	в беседе	1	1
452	тела в	4	1
453	о которых	1	1
454	служит в	1	1
455	далеко не	2	1
456	в моменты	1	1
457	на друга	2	1
458	свои корни	1	1
459	со своими	2	1
460	переходим к	3	1
461	он и	1	1
462	чем в	1	1
463	и было	4	1
464	в один	1	1
465	не мог	2	1
466	чем-то неожиданным	1	1
467	на первый	3	1
468	имен и	1	1
469	этом случае	2	1
470	были выработаны	1	1
471	и разнообразным	1	1
472	которых еще	1	1
473	остальной мир	1	1
474	здесь рядом	1	1
475	что всякий	1	1
476	участие в	1	1
477	имеется и	1	1
478	жизни с	2	1
479	далеки от	1	1
480	пределах индивидуального	1	1
481	совершенно новое	1	1
482	в одном	7	1
483	живут в	1	1
484	которые в	1	1
485	друг другу	2	1
486	и эти	1	1
487	чтобы это	1	1
488	уже сказали	3	1
489	вещей и	7	1
490	однако в	1	1
491	в пропасть	1	1
492	всю картину	1	1
493	раз и	1	1
494	иной раз	1	1
495	половых органах	1	1
496	возникает в	1	1
497	и должно	2	1
