N	3gram	Berdyaev_V_1	Problemy
1	как и в	1	3
2	с другой стороны	1	3
3	как бы в	1	3
4	в том что	2	2
5	сознании и в	1	2
6	но и в	2	2
7	очень важное место	1	1
8	так и в	1	1
9	по сравнению с	1	1
10	других людей в	1	1
11	в конце концов	1	1
12	к тому что	3	1
13	хотя бы и	1	1
14	его личности и	1	1
15	проявляется и в	1	1
16	в xx веке	1	1
17	и в жизни	1	1
18	есть прежде всего	1	1
19	то что мы	3	1
20	вместо того чтобы	2	1
21	и вместе с	1	1
22	но все же	1	1
23	не могли бы	1	1
24	в сознании и	1	1
25	жизни в этом	1	1
26	том что он	2	1
27	после того как	1	1
28	но прежде всего	1	1
29	в жизни и	1	1
30	а между тем	2	1
