N	3gram	Propp_Russ_2	Myslijsy
1	в том что	18	7
2	в этом случае	6	5
3	не может быть	3	5
4	о том что	4	5
5	а между тем	1	4
6	и в этом	1	4
7	только тогда когда	3	4
8	можно сказать что	1	4
9	на то что	1	4
10	для того чтобы	6	4
11	тем не менее	2	4
12	может быть назван	1	3
13	вместе с тем	4	3
14	во всяком случае	1	3
15	и т д	5	3
16	и таким образом	1	3
17	мы не можем	2	3
18	тем и другим	1	3
19	потому что в	1	3
20	что иное как	2	2
21	подобно тому как	3	2
22	в том же	1	2
23	так как оно	1	2
24	в этих случаях	3	2
25	между тем как	1	2
26	то что в	1	2
27	в данном случае	6	2
28	и в том	1	2
29	после того как	2	2
30	вопрос о том	1	2
31	с тем и	1	2
32	не что иное	2	2
33	на нее как	1	1
34	отсюда видно что	1	1
35	дело в том	1	1
36	но так как	1	1
37	в настоящее время	1	1
38	так что в	1	1
39	о том как	1	1
40	и во многих	1	1
41	во многих других	1	1
42	и то и	1	1
43	в виду что	1	1
44	не отличаются от	1	1
45	почвы на которой	1	1
46	но и в	1	1
47	а может быть	1	1
48	особое значение и	1	1
49	в этом отношении	1	1
50	это показывает что	3	1
51	что чем больше	1	1
52	на доску и	1	1
53	приписывалось влияние на	1	1
54	но и эта	1	1
55	может быть только	2	1
56	может быть и	1	1
57	выше мы видели	1	1
58	в это время	1	1
59	что в первый	1	1
60	в ту сторону	1	1
61	и многие другие	2	1
62	здесь мы имеем	1	1
63	может быть не	1	1
64	с одной стороны	2	1
65	на первый взгляд	1	1
66	смысле этого слова	1	1
67	в свою очередь	1	1
68	той и другой	1	1
69	очевидно что и	1	1
70	кроме того в	2	1
71	то что по	1	1
72	с другой стороны	1	1
73	все то что	1	1
74	связи с другими	1	1
75	и в таком	1	1
76	так как при	1	1
77	таким образом в	1	1
78	иметь в виду	1	1
79	в то время	2	1
80	в том чтобы	2	1
81	и все это	1	1
82	следует обратить внимание	1	1
83	состоять в том	1	1
84	в связь с	1	1
85	нее как на	1	1
86	дело не в	1	1
87	там же в	4	1
88	как и в	1	1
89	мы видели что	4	1
