N	2gram	Propp_Morf_1	Vladivir
1	и в	13	31
2	не только	4	24
3	но и	4	19
4	то что	8	18
5	и не	12	17
6	и даже	1	15
7	у него	1	15
8	в этом	14	14
9	том что	4	14
10	и с	1	14
11	он был	1	14
12	что в	8	14
13	там же	1	13
14	но в	2	12
15	в его	1	12
16	что он	4	12
17	с его	2	11
18	же с	1	11
19	о том	2	11
20	в том	6	11
21	между прочим	1	11
22	потому что	3	11
23	и то	1	10
24	также и	4	10
25	он не	3	10
26	так что	1	10
27	как мы	6	9
28	только в	2	9
29	в течение	1	9
30	а в	7	9
31	и по	2	8
32	в то	3	8
33	так как	16	8
34	в доме	1	7
35	кроме того	1	7
36	мы уже	1	7
37	как это	3	7
38	и его	1	7
39	для него	1	7
40	об этом	4	7
41	в эти	1	7
42	как раз	1	7
43	еще и	1	7
44	сказать что	2	7
45	то же	7	6
46	и был	1	6
47	и к	4	6
48	это было	3	6
49	у нас	2	6
50	так и	6	6
51	и что	2	6
52	можно сказать	2	6
53	в качестве	5	6
54	может быть	52	6
55	на этот	1	6
56	не может	14	6
57	к этому	3	6
58	но как	2	5
59	на то	2	5
60	не в	3	5
61	что и	7	5
62	вовсе не	4	5
63	но он	1	5
64	а с	2	5
65	что же	2	5
66	видно что	1	5
67	а также	4	5
68	в свое	2	5
69	из его	2	4
70	что его	2	4
71	совсем не	3	4
72	в этой	2	4
73	хотя и	3	4
74	и как	5	4
75	говорит что	1	4
76	в этот	1	4
77	в которой	3	4
78	в нашем	3	4
79	в себе	1	4
80	главным образом	4	4
81	в россии	2	4
82	же касается	1	4
83	как и	3	4
84	несмотря на	4	4
85	еще в	1	4
86	в своей	1	4
87	а а	2	4
88	дело в	1	4
89	к ней	1	4
90	во всем	1	4
91	к нему	3	4
92	один из	5	4
93	себя в	1	4
94	и у	1	4
95	для меня	1	4
96	в особенности	1	4
97	после смерти	1	4
98	и все	1	4
99	для нас	2	4
100	увидим ниже	5	3
101	но она	1	3
102	это время	1	3
103	и на	1	3
104	то мы	4	3
105	но не	4	3
106	в в	2	3
107	отношение к	1	3
108	что они	2	3
109	как в	3	3
110	все же	7	3
111	более или	2	3
112	в целом	3	3
113	все эти	2	3
114	но на	1	3
115	и вот	1	3
116	на его	4	3
117	здесь мы	3	3
118	или менее	2	3
119	во время	6	3
120	что касается	1	3
121	но это	6	3
122	что этот	1	3
123	и притом	1	3
124	на него	3	3
125	ничего не	4	3
126	таким образом	21	3
127	к тому	4	3
128	здесь не	2	3
129	и здесь	5	3
130	и просто	1	3
131	мы увидим	8	3
132	и действительно	1	3
133	уже не	2	3
134	только на	1	3
135	в виде	2	3
136	с этими	1	3
137	с другой	8	3
138	если не	1	3
139	в связи	9	3
140	по своему	2	3
141	в начале	3	3
142	это можно	1	3
143	собственно говоря	1	3
144	другой стороны	4	3
145	и т	41	2
146	одним из	1	2
