N	4gram	Losev_Dial_2	Psycholo
1	в то время как	3	5
2	заключается в том что	1	3
3	в том что она	1	2
4	т д все это	1	1
5	т д и т	2	1
6	с одной стороны и	1	1
7	сами по себе не	1	1
8	вопрос о том что	1	1
9	только тогда когда оно	2	1
10	если принять во внимание	2	1
11	д и т д	2	1
12	до тех пор пока	1	1
13	и т д и	2	1
14	одно и то же	4	1
15	не что иное как	3	1
16	и т д все	1	1
17	по самой своей природе	1	1
18	не в том что	1	1
19	точно так же как	1	1
20	так же как и	1	1
21	что на самом деле	1	1
22	надо сказать что здесь	1	1
