N	4gram	Vygotskiy__1	Problema
1	в какой мере не	1	4
2	ни в какой мере	1	4
3	и с точки зрения	1	3
4	или по крайней мере	1	2
5	в то время как	4	2
6	то же самое время	1	2
7	в то же самое	1	2
8	дело в том что	1	1
9	вместе с тем является	1	1
10	в том числе и	1	1
11	и в то же	1	1
12	говорить о том что	1	1
13	что он мыслит себе	1	1
14	в том что мы	1	1
15	заключается в том чтобы	1	1
16	сама по себе в	1	1
17	с этой точки зрения	1	1
18	мы должны сказать что	1	1
19	заключается в том что	4	1
20	так же как и	4	1
21	приходит к выводу что	3	1
22	в том что этот	1	1
23	не связанных между собой	1	1
24	какой мере не является	1	1
25	в одном и том	1	1
26	о том что он	1	1
27	что в данном случае	1	1
28	одном и том же	1	1
