N	2gram	Vinokur_Ku_3	PoTuStor
1	может быть	14	17
2	и в	23	16
3	и пр	3	12
4	в этом	16	9
5	таким образом	9	9
6	и только	3	9
7	прежде всего	9	9
8	и с	3	8
9	точки зрения	23	8
10	и его	1	8
11	не может	6	8
12	совершенно не	5	8
13	не только	17	7
14	сказать что	7	7
15	я и	3	6
16	самом деле	14	6
17	конечно не	2	6
18	при этом	6	6
19	с точки	16	6
20	для него	1	6
21	и к	3	6
22	еще не	9	5
23	в чем	5	5
24	отношение к	3	5
25	все эти	7	5
26	сознание и	1	5
27	что такое	4	5
28	только для	2	5
29	ни в	3	5
30	нуждается в	1	5
31	в него	1	5
32	как бы	5	5
33	на самом	3	4
34	и ее	1	4
35	и на	1	4
36	отнюдь не	3	4
37	но в	2	4
38	его в	2	4
39	мысли и	2	4
40	все это	2	4
41	как мы	5	4
42	так и	6	4
43	но мы	2	4
44	можно сказать	2	4
45	в его	11	4
46	а потому	2	4
47	с ними	1	4
48	только в	6	4
49	и их	1	4
50	так как	9	4
51	но и	3	4
52	и не	10	4
53	хотя бы	9	4
54	все что	1	4
55	если б	1	3
56	отношения к	1	3
57	тех же	4	3
58	в общем	6	3
59	и есть	5	3
60	и как	2	3
61	учение о	2	3
62	на две	1	3
63	и вот	3	3
64	на этом	2	3
65	на этой	1	3
66	этом смысле	1	3
67	том что	11	3
68	во время	1	3
69	сих пор	8	3
70	в одном	2	3
71	по крайней	1	3
72	в основе	1	3
73	до сих	8	3
74	чем не	1	3
75	те же	7	3
76	на язык	1	3
77	в конечном	1	3
78	с другими	2	3
79	крайней мере	1	3
80	в том	22	3
81	мы знаем	1	3
82	всяком случае	1	3
83	в области	14	3
84	и др	1	3
85	пр и	1	3
86	вместе с	2	3
87	и потому	1	3
88	как это	7	3
89	ко всякому	1	3
90	могут быть	6	3
91	что в	13	3
92	в этих	2	3
93	а в	5	3
94	то что	4	3
95	между ними	1	3
96	только как	4	3
97	во всяком	2	3
98	ту же	1	2
99	же как	1	2
100	доступ в	1	2
101	в самом	13	2
102	мы не	3	2
103	и о	4	2
104	говорить о	6	2
105	того же	4	2
106	и говорить	2	2
107	между собой	1	2
108	из этих	5	2
109	но как	3	2
110	конечном счете	1	2
111	нет и	1	2
112	за пределы	2	2
113	с этим	1	2
114	что это	3	2
115	и через	2	2
116	он не	3	2
117	то же	6	2
118	по своему	2	2
119	связанные с	1	2
120	на протяжении	2	2
121	и мы	1	2
122	было бы	16	2
123	как и	5	2
124	в своей	4	2
125	не менее	12	2
126	никогда не	1	2
127	таким путем	1	2
128	всей жизни	1	2
129	сводится к	1	2
130	здесь же	1	2
131	что на	3	2
132	в каком	3	2
133	не могут	5	2
134	не будет	1	2
135	как не	1	2
136	на основе	1	2
137	только то	3	2
138	в пределах	2	2
139	по аналогии	1	2
140	для этого	6	2
141	о том	6	2
142	и содержание	3	2
143	для нас	4	2
144	путь к	2	2
145	что и	6	2
146	может иметь	3	2
147	один из	4	2
148	сделать это	1	2
149	мы видим	1	2
150	что он	6	2
151	и действительно	3	2
152	и так	1	2
