N	3gram	Bakhtin_Pr_1	Narrotol
1	в том что	6	8
2	в данном случае	2	6
3	не только в	2	6
4	по отношению к	8	5
5	о том что	1	4
6	к себе самому	1	3
7	в этом отношении	3	3
8	в известном смысле	1	3
9	того или иного	1	3
10	то же время	9	3
11	можно сказать что	1	3
12	в то же	9	3
13	к тому что	1	3
14	хотя и не	1	2
15	с точки зрения	13	2
16	на самом деле	4	2
17	подобно тому как	3	2
18	все те же	1	2
19	и т п	3	2
20	и не может	2	2
21	точно так же	1	2
22	так же как	1	2
23	а в том	1	2
24	не только не	1	2
25	не может быть	4	2
26	как бы в	2	2
27	тому что он	1	2
28	все то что	3	2
29	и оно не	1	1
30	вследствие этого оно	1	1
31	то что я	1	1
32	смысле как мы	1	1
33	более или менее	1	1
34	отношению к себе	1	1
35	в своем собственном	1	1
36	в самом деле	2	1
37	в этом смысле	10	1
38	то же самое	1	1
39	как раз и	3	1
40	по сравнению с	1	1
41	и в то	2	1
42	в зависимости от	5	1
43	и возникает проблема	1	1
44	не входит в	3	1
45	не могло бы	1	1
46	что все эти	1	1
47	себе самому и	1	1
48	и мира и	1	1
49	можно было бы	2	1
50	на этот вопрос	1	1
51	во всей его	2	1
52	в противном случае	1	1
53	т п все	2	1
54	может быть только	1	1
55	на себя самого	1	1
56	до сих пор	2	1
57	то что было	3	1
58	с таким же	1	1
59	то время как	1	1
60	и рождается в	1	1
61	а не только	1	1
62	мы его не	1	1
63	это прежде всего	1	1
64	в точке соприкосновения	1	1
65	на первый взгляд	1	1
66	если бы эти	1	1
67	своем собственном мире	1	1
68	в сознании героя	1	1
69	соприкосновения разных сознаний	1	1
70	и потому не	1	1
71	не в том	1	1
72	за пределы своего	1	1
73	не только к	1	1
74	и что в	1	1
75	взаимодействия сознаний и	1	1
76	во всяком случае	3	1
77	в полной мере	1	1
78	в пределы одного	2	1
79	но уже не	1	1
80	в мире а	1	1
81	и в других	1	1
82	этой точки зрения	1	1
83	но с другой	2	1
84	в то время	1	1
85	так и в	1	1
86	у него есть	1	1
87	жизни а не	1	1
88	рождается в точке	1	1
89	но и не	2	1
90	в большинстве случаев	2	1
91	в качестве личности	1	1
92	в другое противоположное	1	1
93	оно и не	1	1
94	только в форме	1	1
95	пределы одного сознания	2	1
96	для того чтобы	1	1
97	связи с этой	1	1
98	точке соприкосновения разных	1	1
