1	в мире	10	19
2	и в	28	18
3	– это	1	18
4	может быть	30	17
5	в частности	1	16
6	я в	1	16
7	в том	6	16
8	не только	29	16
9	а в	4	13
10	и не	11	13
11	то есть	3	12
12	так и	1	10
13	а не	25	9
14	точки зрения	4	9
15	но и	25	9
16	том что	3	9
17	что в	10	9
18	но в	7	9
19	но не	8	9
20	в себе	7	9
21	в этом	20	8
22	и его	9	8
23	в душе	1	8
24	мы имеем	1	7
25	не в	16	7
26	в искусстве	1	6
27	в русской	1	6
28	в своей	15	6
29	себя в	3	6
30	только в	6	6
31	отличие от	1	6
32	в отличие	1	6
33	в то	2	6
34	в его	9	6
35	лишь в	6	6
36	в ее	3	5
37	приводит к	2	5
38	как бы	2	5
39	место в	2	5
40	в пределах	1	5
41	с его	3	5
42	в виду	2	5
43	между тем	1	5
44	как в	2	5
45	– с	1	5
46	отношение к	4	5
47	жизни как	1	4
48	могут быть	2	4
49	уже не	4	4
50	так в	1	4
51	и о	1	4
52	в нем	13	4
53	никогда не	14	4
54	личности и	1	4
55	в области	1	4
56	как и	5	4
57	еще не	1	4
58	по отношению	2	4
59	– не	5	4
60	не может	28	4
61	отношению к	2	4
62	в самом	11	4
63	не менее	1	4
64	того что	7	4
65	в своем	10	4
66	со своей	1	3
67	если бы	2	3
68	но он	9	3
69	в свою	2	3
70	сказать что	2	3
71	имеем в	1	3
72	в этой	6	3
73	личности в	2	3
74	к которому	1	3
75	между двумя	1	3
76	– также	1	3
77	и что	2	3
78	вовсе не	1	3
79	не все	2	3
80	то что	5	3
81	в основе	2	3
82	не знает	4	3
83	потому что	16	3
84	и к	2	3
85	и ее	1	3
86	в этих	4	3
87	а на	1	3
88	принадлежит к	1	3
89	– все	3	3
90	в отношении	1	3
91	он не	24	3
92	мог бы	4	3
93	как говорит	1	3
94	и вот	3	3
95	ни к	1	3
96	по своей	2	3
97	человека к	2	3
98	– как	1	2
99	для него	11	2
100	ключ к	1	2
101	к жизни	1	2
102	не могут	5	2
103	как будто	2	2
104	в самой	7	2
105	что она	1	2
106	по своему	2	2
107	я и	1	2
108	все эти	2	2
109	в которой	6	2
110	о себе	3	2
111	человека с	2	2
112	делает его	1	2
113	всякий раз	1	2
114	мире и	1	2
115	я не	1	2
116	все это	6	2
117	заключается в	1	2
118	вместе с	6	2
119	и для	2	2
120	мышления и	1	2
121	во внутренней	1	2
122	и по	4	2
123	говорит что	1	2
124	но она	1	2
125	искусства в	1	2
126	как к	1	2
127	несет в	1	2
128	для понимания	1	2
129	особого рода	1	2
130	зрения и	1	2
131	об этом	1	2
132	не могло	1	2
133	своей жизни	1	2
134	и потому	10	2
135	это было	1	2
136	его в	3	2
137	русской поэзии	1	2
138	свободы но	5	2
139	лишь один	1	2
140	прежде всего	10	2
141	одной из	1	2
142	жизни –	1	2
143	от своего	1	2
144	к чему	2	2
145	к тому	3	2
146	никто не	2	2
147	в их	4	2
148	если в	1	2
149	за пределы	4	2
150	в той	2	2
151	отличается от	2	2
152	в момент	3	2
153	отношении к	2	2
154	а именно	1	2
155	одним из	2	2
156	роль в	1	2
157	что и	4	2
158	так же	1	2
159	и даже	1	2
160	жизни в	2	2
161	к его	1	2
162	у нас	5	2
163	дома и	1	2
164	в них	4	2
165	не вполне	1	2
166	и то	1	2
167	это не	5	2
168	с их	2	2
169	ни был	1	2
170	к области	1	2
171	и как	2	2
172	казалось бы	1	2
173	один из	4	2
174	быть и	1	2
175	не на	1	2
176	он должен	3	2
177	от свободы	2	2
178	в жизни	3	2
179	отношения к	4	2
180	произведения искусства	1	2
181	в противоположность	1	2
182	в глаза	1	2
183	духовной культуры	1	2
184	в одном	1	2
185	не принадлежит	2	2
186	в конце	7	2
187	и это	12	2
188	и мира	3	2
189	культуры как	1	1
190	момент в	2	1
191	во весь	1	1
192	действительной жизни	1	1
193	личность и	2	1
194	в каждом	1	1
195	иных случаях	1	1
196	мира в	1	1
197	начинается с	1	1
198	что свобода	3	1
199	различие между	2	1
200	и заключается	1	1
201	с собой	3	1
202	является в	1	1
203	других –	1	1
204	интересом к	1	1
205	как своей	1	1
