N	3gram	Tiupa_Anal_1	PoTuStor
1	с точки зрения	4	6
2	в этом смысле	1	3
3	до сих пор	1	3
4	по крайней мере	1	3
5	во всяком случае	1	3
6	не может быть	16	3
7	по аналогии с	1	2
8	в самом деле	2	2
9	не могут быть	2	2
10	о том что	3	2
11	но отнюдь не	1	2
12	в конечном счете	4	2
13	и того же	2	1
14	в объекте в	1	1
15	мы имеем в	1	1
16	имеем в виду	1	1
17	подобно тому как	3	1
18	он может быть	1	1
19	одного и того	2	1
20	то же самое	2	1
21	есть в сущности	1	1
22	ни в коем	2	1
23	бы то ни	3	1
24	и та же	1	1
25	в этом отношении	2	1
26	а то и	1	1
27	она может быть	1	1
28	с этой точки	1	1
29	вместе с тем	1	1
30	только для того	1	1
31	нуждается в объекте	1	1
32	в коем случае	2	1
33	именно здесь в	1	1
34	быть может наиболее	1	1
35	в данном случае	2	1
36	то ни было	3	1
37	с одной стороны	3	1
38	в связи с	1	1
39	смысл и значение	1	1
40	а с другой	1	1
41	имеем дело с	3	1
42	с ним и	1	1
43	бы оно ни	1	1
44	самом деле в	1	1
45	в свое время	2	1
46	в том что	9	1
47	на вопрос о	1	1
48	может быть ничего	1	1
49	этой точки зрения	1	1
50	и таким образом	1	1
51	как я и	1	1
52	оно ни было	1	1
53	для нас очень	1	1
54	а вместе с	1	1
55	вместе с ним	2	1
56	еще в году	1	1
57	во внешнем мире	2	1
58	одна и та	1	1
59	что иное как	5	1
60	или во всяком	1	1
61	конечном счете только	1	1
62	не что иное	4	1
63	друг с другом	1	1
64	быть не может	3	1
65	для того чтобы	3	1
66	на первый взгляд	1	1
67	таким образом с	1	1
68	той или иной	6	1
