N	2gram	Tiupa_Anal_1	Problemy
1	и в	18	35
2	как бы	5	31
3	и не	21	27
4	что он	3	24
5	в его	13	21
6	но в	8	19
7	как и	13	18
8	к себе	1	18
9	не может	22	18
10	о себе	1	17
11	в нем	3	16
12	то есть	11	16
13	то же	9	15
14	с самим	1	15
15	и все	3	15
16	в сущности	6	14
17	в этом	13	14
18	и его	5	14
19	для него	2	14
20	может быть	29	14
21	но и	17	14
22	он не	3	13
23	к нему	3	13
24	с другим	4	13
25	и с	2	12
26	в другом	4	12
27	прежде всего	6	12
28	и к	3	12
29	в пределах	2	11
30	в то	9	11
31	самом деле	2	10
32	не только	15	10
33	не в	14	10
34	же время	6	10
35	то что	6	10
36	а я	1	10
37	на самом	2	9
38	самим собою	1	9
39	в отношении	1	9
40	мы уже	1	8
41	я не	1	8
42	все же	4	8
43	как мы	2	8
44	так и	4	8
45	себя и	4	8
46	о мире	1	8
47	и для	1	8
48	потому что	2	8
49	слово о	1	7
50	еще не	3	7
51	с его	3	7
52	и наконец	1	7
53	самим собой	2	7
54	лишь в	5	7
55	таким образом	3	7
56	для себя	2	7
57	и сам	2	7
58	в виде	1	7
59	вовсе не	2	7
60	что же	2	7
61	себя самого	1	7
62	точки зрения	6	7
63	с ним	4	7
64	а в	9	7
65	отношению к	5	7
66	и на	5	6
67	он сам	1	6
68	но не	10	6
69	по отношению	6	6
70	отношение к	2	6
71	в самом	6	6
72	к тому	7	6
73	в одном	1	6
74	и что	1	6
75	только в	6	6
76	слова в	1	6
77	и т.п	5	6
78	но это	1	6
79	от него	1	6
80	не знает	1	6
81	что в	5	6
82	и то	2	5
83	как в	1	5
84	в себе	11	5
85	внутренней речи	5	5
86	я все	1	5
87	он и	1	5
88	знает и	1	5
89	от себя	3	5
90	даже в	3	5
91	во время	1	5
92	на него	1	5
93	да и	1	5
94	его с	1	5
95	диалог с	1	5
96	в том	27	5
97	так что	1	5
98	к самому	1	5
99	и даже	1	5
100	к своему	1	5
101	как к	2	5
102	этого слова	7	5
103	героя в	2	5
104	он как	1	4
105	в мире	8	4
106	обращен к	1	4
107	он в	1	4
108	в чем	1	4
109	нет и	2	4
110	над собой	1	4
111	та же	1	4
112	что это	1	4
113	на его	2	4
114	друг с	1	4
115	но все	1	4
116	же не	1	4
117	его в	1	4
118	в них	1	4
119	в своей	6	4
120	в такой	1	4
121	но он	1	4
122	по себе	4	4
123	никогда не	2	4
124	во всем	1	4
125	как раз	1	4
126	слова о	1	4
127	как будто	3	4
128	той или	6	4
129	где он	1	4
130	сознания и	1	4
131	еще в	2	4
132	между тем	5	4
133	другого в	3	4
134	наконец в	1	4
135	все время	1	4
136	только на	1	4
137	всяком случае	1	4
138	так как	2	4
139	не о	2	4
140	у него	1	4
141	или иной	6	4
142	с другой	4	4
143	с другом	1	4
144	что не	3	4
145	а не	17	4
146	но как	1	4
147	по своему	1	4
148	в той	8	4
149	человек и	1	4
150	я в	3	4
151	тот же	1	4
152	во всяком	1	4
153	себя как	1	3
154	обойтись без	1	3
155	в виду	1	3
156	бы то	3	3
157	во всех	1	3
158	установкой на	2	3
159	за пределы	2	3
160	его к	2	3
161	в целом	5	3
162	все эти	2	3
163	тому же	4	3
