N	3gram	Propp_Isto_7	Myshleni
1	с точки зрения	1	18
2	в том что	4	15
3	с другой стороны	8	9
4	с одной стороны	4	8
5	по отношению к	1	7
6	в другом месте	1	6
7	о том что	5	6
8	вместе с тем	1	5
9	так же как	4	5
10	не может быть	3	5
11	в то время	2	5
12	же как и	1	4
13	до сих пор	2	4
14	то время как	2	4
15	таким образом что	1	3
16	мы видим таким	1	3
17	то же самое	1	3
18	можно было бы	1	3
19	к тому что	1	3
20	в том чтобы	2	3
21	видим таким образом	1	3
22	не в состоянии	1	2
23	при переходе от	1	2
24	мы хотели бы	1	2
25	как если бы	1	2
26	в зависимости от	1	2
27	независимо от того	1	2
28	он показывает что	2	2
29	на этот вопрос	2	2
30	так как он	2	2
31	в данном случае	3	2
32	ответ на этот	1	2
33	в наши задачи	1	2
34	на вопрос о	1	2
35	ничего не может	1	2
36	в самом деле	1	2
37	таким образом и	1	2
38	в чистом виде	1	1
39	совершенно то же	2	1
40	к этому же	1	1
41	еще яснее это	1	1
42	показывает как в	2	1
43	лежит не там	1	1
44	мы увидим в	1	1
45	в ответ на	3	1
46	то новое что	1	1
47	что он не	1	1
48	но и в	2	1
49	как мы увидим	1	1
50	тех случаях когда	3	1
51	хотя и не	1	1
52	также не вполне	1	1
53	они представляют собой	1	1
54	точно так же	2	1
55	то что в	3	1
56	с этой точки	3	1
57	ту или иную	1	1
58	в этой связи	1	1
59	но эта гипотеза	1	1
60	для разрешения этого	1	1
61	лет с другой	1	1
62	не только в	5	1
63	новое что вносит	1	1
64	состоит в том	1	1
65	и потому что	1	1
66	в непосредственной связи	1	1
67	и что его	1	1
68	мы видели что	1	1
69	ситуации в которой	1	1
70	до наших дней	1	1
71	этой точки зрения	3	1
72	в тех случаях	4	1
73	тех случаях где	1	1
74	надо сказать что	1	1
75	не там где	1	1
76	но тем не	2	1
77	мы не можем	2	1
78	прямо или косвенно	1	1
79	таким образом мы	2	1
80	непосредственной связи с	1	1
81	образом связана с	1	1
82	той ситуации в	1	1
83	это значит что	1	1
84	что у него	4	1
85	что в действительности	1	1
86	и тем более	1	1
87	от них и	1	1
88	что мы знаем	1	1
89	что в данном	1	1
90	но все же	2	1
91	с тем и	1	1
92	вопрос о связи	1	1
93	как мы уже	1	1
94	сама по себе	1	1
95	и т д	16	1
96	тем не менее	4	1
97	то же что	2	1
98	мы уже знаем	3	1
99	а именно в	1	1
100	как и в	2	1
101	приводит нас к	1	1
102	она не может	1	1
103	в качестве примера	1	1
