N	3gram	Propp_Isto_6	Narrotol
1	в том что	5	8
2	с одной стороны	7	7
3	о том что	4	6
4	по отношению к	2	6
5	в том числе	1	6
6	не может быть	3	5
7	том числе и	1	4
8	в данном случае	3	4
9	все же не	1	4
10	с другой стороны	8	4
11	но все же	2	4
12	можно сказать что	1	4
13	тем не менее	1	3
14	и тем самым	1	3
15	что иное как	1	2
16	более или менее	1	2
17	подобно тому как	1	2
18	в таком случае	1	2
19	можно было бы	2	2
20	точно так же	2	2
21	то или иное	1	2
22	так же как	1	2
23	не что иное	1	2
24	не только в	4	2
25	на первый взгляд	1	2
26	этой точки зрения	1	2
27	речь идет о	1	2
28	на том свете	4	2
29	здесь не в	1	2
30	так или иначе	1	2
31	том что в	2	1
32	в чистом виде	1	1
33	следует отметить что	1	1
34	только потому что	1	1
35	это то что	1	1
36	все же было	1	1
37	связь со смертью	1	1
38	и в особенности	1	1
39	том что он	1	1
40	же как и	1	1
41	до сих пор	4	1
42	и должна быть	1	1
43	ночь а утром	1	1
44	только то что	2	1
45	независимо от того	1	1
46	и небо и	1	1
47	и то что	1	1
48	по аналогии с	1	1
49	к тому чтобы	1	1
50	но это не	1	1
51	и др в	1	1
52	а иногда и	1	1
53	с этой точки	1	1
54	не могло быть	2	1
55	могло и не	1	1
56	но в таком	1	1
57	при всей специфике	1	1
58	на передний план	1	1
59	в этом не	1	1
60	а также и	1	1
61	а с другой	1	1
62	один из этих	1	1
63	в свое время	1	1
64	есть не что	1	1
65	и когда он	1	1
66	так и в	1	1
67	и тем более	1	1
68	и не могло	1	1
69	с другом и	1	1
70	из этих двух	1	1
71	жизнью и смертью	1	1
72	друг с другом	1	1
73	и деревья и	1	1
74	и как будто	1	1
75	как и в	2	1
76	здесь как и	1	1
77	в себе не	1	1
78	но еще не	1	1
79	как мы видели	2	1
