N	2gram	Trubetskoy_1	UchenyiS
1	и в	26	14
2	а не	5	10
3	не только	10	10
4	и не	8	8
5	прежде всего	2	8
6	в этом	15	7
7	не может	4	7
8	то что	7	7
9	может быть	10	6
10	и только	4	5
11	все это	6	5
12	перестает быть	2	5
13	то же	4	5
14	хотя бы	3	5
15	в их	1	4
16	что такое	1	4
17	с другой	8	4
18	конечно не	2	4
19	но и	9	4
20	в этой	4	4
21	в россии	2	4
22	у нас	1	3
23	бы то	2	3
24	в своей	1	3
25	все же	6	3
26	не как	2	3
27	то ни	2	3
28	в то	4	3
29	же время	2	3
30	пришлось бы	1	3
31	к сожалению	3	3
32	для этого	2	3
33	другой стороны	1	3
34	не следует	1	3
35	в области	9	3
36	для него	3	3
37	но в	7	3
38	вряд ли	1	3
39	было бы	1	3
40	этой области	1	3
41	и т.д	6	3
42	это не	1	3
43	ни было	2	3
44	формы в	1	3
45	как и	1	3
46	одним из	2	2
47	и через	1	2
48	а между	1	2
49	для всех	2	2
50	на каждом	1	2
51	в себе	6	2
52	к области	1	2
53	бы и	1	2
54	и с	10	2
55	если не	2	2
56	по себе	1	2
57	конце концов	3	2
58	надо было	2	2
59	мы и	1	2
60	все они	1	2
61	но не	8	2
62	с его	2	2
63	смысле этого	1	2
64	ничего не	1	2
65	по существу	2	2
66	при таком	2	2
67	и у	8	2
68	тем что	1	2
69	и для	5	2
70	превращается в	2	2
71	о чем	1	2
72	их и	1	2
73	и является	2	2
74	в широком	1	2
75	крайней мере	5	2
76	что она	1	2
77	это было	1	2
78	должна была	2	2
79	что он	4	2
80	что все	4	2
81	в том	11	2
82	только в	4	2
83	между тем	2	2
84	могли бы	1	2
85	конечно нет	1	2
86	таким образом	22	2
87	это уже	1	2
88	на эту	1	2
89	но даже	1	2
90	что и	6	2
91	по крайней	5	2
92	всех этих	1	2
93	в его	5	2
94	сих пор	5	2
95	художественном творчестве	1	2
96	если бы	3	2
97	как раз	1	2
98	могут быть	1	2
99	что мы	2	2
100	не в	2	2
101	же самое	2	2
102	не приходится	1	2
103	в самом	4	2
104	каждом шагу	1	2
105	самом деле	1	2
106	мы не	1	2
107	а как	1	2
108	в сторону	1	2
109	этом отношении	2	2
110	в конце	6	2
111	но это	1	2
112	не есть	1	2
113	том что	7	2
114	не могут	2	2
115	до сих	5	2
116	они относятся	1	1
117	этих слов	1	1
118	которое мы	1	1
119	друг с	5	1
120	в процессе	2	1
121	от слова	1	1
122	и что	4	1
123	связанные с	7	1
124	в которой	3	1
125	есть ли	1	1
126	в качестве	3	1
127	обе эти	1	1
128	он не	4	1
129	в первую	1	1
130	без труда	1	1
131	в сфере	1	1
132	другом не	1	1
133	с другом	5	1
134	такая система	1	1
135	ее существование	1	1
136	язык в	1	1
137	приводит к	2	1
138	все что	2	1
139	в значительной	3	1
140	объясняется и	1	1
141	на его	1	1
142	с тем	18	1
143	первую очередь	1	1
144	он может	1	1
145	тот же	2	1
146	быть по	1	1
147	то о	1	1
148	бы в	1	1
149	или по	2	1
150	в свое	1	1
151	в виду	2	1
152	в течение	4	1
153	тем более	1	1
154	данном случае	1	1
155	входит в	1	1
156	же как	3	1
157	мировоззрением и	1	1
158	из первых	1	1
159	не связанных	1	1
160	можно сказать	3	1
161	одно из	2	1
162	признать что	2	1
163	как основной	1	1
164	все и	1	1
165	научного анализа	1	1
166	только как	1	1
167	иначе связанные	1	1
168	о котором	2	1
169	сказать что	2	1
170	относится к	2	1
171	мы можем	2	1
172	о том	6	1
173	не существует	1	1
174	и потому	6	1
175	только для	2	1
176	но по	3	1
177	больше чем	2	1
178	много но	1	1
179	всего что	1	1
180	что в	9	1
181	впервые в	1	1
182	тогда когда	2	1
183	в техническом	1	1
184	для себя	1	1
185	оно является	2	1
186	т.д в	1	1
187	как на	8	1
188	же в	1	1
189	ролью в	1	1
190	находит себе	1	1
191	того что	3	1
192	с одной	7	1
193	должно быть	1	1
194	той же	1	1
195	в этот	1	1
196	уже не	3	1
197	в которых	4	1
198	к этому	3	1
199	говорить не	1	1
200	так и	6	1
201	в таком	3	1
202	или менее	5	1
203	и действительно	2	1
204	в виде	4	1
205	мы имеем	2	1
206	этот путь	2	1
207	связанных с	2	1
208	или иначе	3	1
209	он становится	1	1
210	человека и	1	1
211	эти тенденции	1	1
212	так или	3	1
213	состоит из	1	1
214	но если	2	1
215	что еще	1	1
216	шагу и	1	1
217	более или	5	1
218	в той	1	1
219	широком смысле	1	1
220	и все	2	1
221	и это	2	1
222	не было	2	1
223	и предопределил	1	1
224	на то	2	1
225	одной стороны	7	1
226	сдвиг в	1	1
227	никогда не	5	1
228	он в	2	1
229	и даже	3	1
230	в котором	4	1
231	с момента	1	1
232	он знает	1	1
233	имеем в	1	1
234	быть в	1	1
235	к лицу	1	1
236	быть тем	1	1
237	из которых	4	1
238	у него	1	1
239	что с	1	1
240	и делает	1	1
241	было когда	1	1
242	это для	1	1
243	ничего подобного	1	1
244	по методу	1	1
245	в нем	4	1
246	и так	1	1
247	в ней	1	1
248	искусства не	1	1
249	все в	1	1
250	этого и	1	1
251	того как	1	1
252	реакцией против	1	1
253	и прежде	1	1
254	но именно	1	1
255	значительной мере	2	1
256	далеко не	4	1
257	то есть	4	1
258	о сущности	1	1
259	не вполне	3	1
260	в пользу	2	1
261	они в	2	1
262	не для	1	1
263	их в	1	1
264	которые могли	1	1
265	но для	1	1
266	в своем	3	1
267	в данном	1	1
268	именно к	1	1
