N	2gram	Vinokur_Vv_1	Literetu
1	а не	3	20
2	и в	27	19
3	может быть	24	17
4	своего рода	3	13
5	то же	8	12
6	и не	13	11
7	как и	5	10
8	в том	31	10
9	но и	5	10
10	и т.п	1	10
11	же время	5	9
12	тогда как	2	9
13	не может	13	9
14	в то	5	9
15	такого рода	2	9
16	в этом	34	9
17	состоит в	2	9
18	с другой	8	8
19	и даже	5	8
20	не только	21	8
21	так и	1	7
22	слова и	1	7
23	то что	17	7
24	с одной	4	7
25	и т.д	4	7
26	том что	26	7
27	в себе	4	6
28	при этом	3	6
29	не менее	8	6
30	и на	3	6
31	одной стороны	4	6
32	однако в	3	6
33	себя в	2	6
34	в конечном	1	5
35	в качестве	7	5
36	у нас	2	5
37	но не	7	5
38	вместе с	6	5
39	в принципе	2	5
40	одна из	2	5
41	того что	12	5
42	каждый из	2	4
43	жизни и	2	4
44	точки зрения	7	4
45	того же	3	4
46	прежде всего	8	4
47	я и	1	4
48	не в	8	4
49	мы не	2	4
50	так что	5	4
51	для него	1	4
52	что в	11	4
53	в его	10	4
54	один из	6	4
55	тем что	6	4
56	другой стороны	5	4
57	и других	3	4
58	еще в	1	4
59	в частности	3	4
60	в области	4	4
61	по отношению	4	4
62	в ней	3	4
63	одним из	5	3
64	но с	4	3
65	и с	2	3
66	данном случае	5	3
67	в другом	3	3
68	и его	5	3
69	как на	11	3
70	в нем	13	3
71	во всех	2	3
72	в их	11	3
73	а в	5	3
74	а именно	6	3
75	в себя	1	3
76	в начале	3	3
77	никогда не	3	3
78	не с	2	3
79	что он	4	3
80	в противовес	1	3
81	в сущности	3	3
82	в культуре	1	3
83	перестает быть	1	3
84	не столько	2	3
85	ничего не	2	3
86	со стороны	12	3
87	и др	2	3
88	в этой	3	3
89	и для	4	3
90	этом отношении	3	3
91	как к	1	3
92	без остатка	2	3
93	с точки	2	3
94	отношению к	4	3
95	по существу	2	3
96	речь идет	2	3
97	и то	5	3
98	себе и	2	3
99	так как	13	3
100	и как	9	3
101	том чтобы	6	3
102	но это	1	3
103	в данном	11	3
104	жизни а	1	2
105	все же	8	2
106	в свое	2	2
107	одно и	1	2
108	в сравнении	1	2
109	в такой	1	2
110	сравнении с	1	2
111	ко всему	1	2
112	в русском	1	2
113	для себя	1	2
114	не по	1	2
115	это как	1	2
116	т п	5	2
117	крайней мере	4	2
118	все равно	1	2
119	не было	1	2
120	вовсе не	6	2
121	культуры как	6	2
122	пути как	1	2
123	ни было	1	2
124	путь не	1	2
125	в жизни	1	2
126	наконец в	1	2
127	говоря уже	2	2
128	с ним	1	2
129	идут в	1	2
130	как раз	4	2
131	в какой	4	2
132	хотя бы	5	2
133	а к	1	2
134	свое время	2	2
135	в конце	3	2
136	при всей	1	2
137	слово не	1	2
138	как это	5	2
139	и без	2	2
140	в руках	1	2
141	с тем	6	2
142	в одном	4	2
143	то в	1	2
144	а потому	3	2
145	одно из	5	2
146	одной из	3	2
147	в ее	11	2
148	с этой	4	2
149	потому что	14	2
150	то как	1	2
151	быть не	1	2
152	и т	43	2
153	а затем	1	2
154	о которой	2	2
155	но как	2	2
156	что и	3	2
157	нам представляется	1	2
158	из которых	2	2
159	мысли и	2	2
160	но в	10	2
161	в россии	1	2
162	соответствии с	2	2
163	и к	1	2
164	для того	21	2
165	речь в	4	2
166	принципе не	1	2
167	в целом	5	2
168	не говоря	2	2
169	что не	5	2
170	тот же	1	2
171	ведь это	1	2
172	как он	6	2
173	представляет собой	12	2
174	но уже	2	2
175	очевидно что	1	2
176	в истории	9	2
177	тем не	8	2
178	даже и	3	2
179	той же	4	2
180	и за	1	2
181	же в	1	2
182	в каждом	4	2
183	в них	4	2
184	для этого	3	2
185	себе не	1	2
186	разумеется не	1	2
187	по крайней	4	2
188	у него	1	2
189	традиции как	1	2
190	не вполне	4	2
191	же как	3	2
192	могут быть	4	2
193	этом случае	6	2
194	уже о	1	2
195	как уже	2	2
196	и что	4	2
197	до конца	3	2
198	в результате	3	2
199	на этом	3	2
200	впрочем не	1	2
201	еще не	4	2
202	из того	2	2
203	жизни как	2	2
204	не раз	1	2
205	в своих	2	2
206	в каждой	2	2
207	и сам	2	2
208	не к	2	2
209	подобно тому	1	2
210	о том	15	2
211	уже не	5	2
212	а также	3	2
213	не бывает	2	2
214	и до	2	2
215	не видит	1	2
216	как писал	1	2
217	с идеей	1	2
218	было бы	5	2
219	уже в	5	2
220	мира в	1	2
221	тому как	1	2
222	из них	3	2
223	в виду	4	2
224	существование в	1	2
225	а если	2	2
226	свое существование	2	2
227	все что	1	2
228	он и	2	2
229	как бы	5	2
230	свою деятельность	1	2
231	что по	1	1
232	она и	1	1
233	все прочие	1	1
234	при жизни	2	1
235	например и	1	1
236	все эти	3	1
237	данного текста	1	1
238	им как	1	1
239	или иных	3	1
240	отношении к	2	1
241	бы в	1	1
242	подлинное творчество	1	1
243	и вот	3	1
244	на деле	1	1
245	все время	1	1
246	он написан	2	1
247	в собственном	2	1
248	конце концов	2	1
249	же это	2	1
250	можно сказать	3	1
251	на которое	1	1
252	по тем	1	1
253	но он	1	1
254	только как	6	1
255	даже к	1	1
256	жизни для	1	1
257	в литературе	1	1
258	говорит о	3	1
259	бы то	1	1
260	создает и	1	1
261	от этого	5	1
262	мы говорим	2	1
263	на том	3	1
264	так же	3	1
