N	3gram	Bakhtin_Pr_1	DiskursI
1	в отличие от	5	12
2	в данном случае	4	6
3	в том что	3	6
4	то же время	3	5
5	как и в	1	5
6	по отношению к	19	4
7	в этом отношении	2	4
8	в то же	3	4
9	с одной стороны	3	4
10	так и в	2	3
11	не может быть	11	3
12	той или иной	2	3
13	и может быть	1	2
14	одной стороны и	1	2
15	подобно тому как	1	2
16	с точки зрения	6	2
17	и не может	2	2
18	в основе своей	3	2
19	и как бы	1	2
20	в мире в	1	2
21	дело в том	1	2
22	в свое время	1	2
23	и прежде всего	5	2
24	при этом в	1	2
25	но в большинстве	1	1
26	в чем не	2	1
27	только таким путем	1	1
28	к себе самому	1	1
29	прежде всего следует	1	1
30	мы имеем дело	2	1
31	в самом деле	3	1
32	чего бы то	1	1
33	того или иного	2	1
34	с другой стороны	4	1
35	и в то	2	1
36	до известной степени	1	1
37	и не к	1	1
38	и в современной	1	1
39	бы то ни	3	1
40	и именно в	1	1
41	то что в	1	1
42	по аналогии с	1	1
43	я нахожу себя	1	1
44	отнюдь не является	1	1
45	художественного произведения как	1	1
46	и в частности	2	1
47	в своем творчестве	1	1
48	в значительной степени	1	1
49	в применении к	3	1
50	не совпадает с	2	1
51	значимости то есть	1	1
52	то ни было	2	1
53	целом и в	1	1
54	говоря уже о	1	1
55	нет дела до	1	1
56	а также и	1	1
57	в равной степени	1	1
58	не могут быть	2	1
59	не в том	1	1
60	которое может быть	1	1
61	ни в чем	2	1
62	принципиально не может	1	1
63	между тем как	5	1
64	бытия в его	1	1
65	та или иная	1	1
66	в иных случаях	3	1
67	равно как и	1	1
68	то есть в	1	1
69	в конечном счете	4	1
70	можно сказать что	2	1
71	мы ничего не	1	1
72	в большинстве случаев	5	1
73	тем не менее	3	1
74	о том какое	1	1
75	не может обладать	1	1
76	лицом к лицу	1	1
77	все то что	3	1
78	не говоря уже	1	1
