N	2gram	Losev_Dial_4	Literetu
1	не только	8	24
2	при этом	2	19
3	в качестве	2	17
4	но и	4	17
5	в том	11	16
6	а не	18	16
7	в частности	2	15
8	том что	10	14
9	может быть	17	13
10	и не	30	12
11	в этом	11	12
12	в своем	5	11
13	прежде всего	11	11
14	то что	16	10
15	или иначе	2	9
16	так или	1	8
17	не в	8	8
18	и в	15	8
19	только в	7	8
20	как это	2	8
21	я и	1	7
22	я не	5	7
23	как бы	14	7
24	в себе	8	7
25	не менее	2	7
26	в его	4	7
27	уже не	9	7
28	и я	1	6
29	как и	7	6
30	точки зрения	14	6
31	того что	13	6
32	связи с	1	6
33	в жизни	5	6
34	себя в	2	6
35	то же	9	5
36	отличие от	2	5
37	как в	3	5
38	в отличие	1	5
39	в то	6	5
40	же время	6	5
41	что он	7	5
42	уже в	1	5
43	не может	11	5
44	в данном	3	5
45	с этой	2	5
46	с его	5	5
47	тем самым	3	5
48	в своей	3	4
49	еще не	4	4
50	в этой	4	4
51	все же	2	4
52	не как	4	4
53	в силу	4	4
54	лишь в	2	4
55	для этого	2	4
56	и его	7	4
57	ведет к	1	4
58	данном случае	1	4
59	никогда не	2	4
60	так и	5	4
61	и тем	6	4
62	из них	2	4
63	в конце	1	4
64	как раз	4	4
65	о себе	1	4
66	в связи	1	4
67	со стороны	3	4
68	это не	12	4
69	в своих	1	4
70	в сфере	5	3
71	тех же	2	3
72	и есть	19	3
73	исходит из	1	3
74	также и	4	3
75	субъекта и	5	3
76	в самом	2	3
77	бы не	2	3
78	с их	4	3
79	таким образом	5	3
80	исходя из	1	3
81	той же	5	3
82	его в	1	3
83	в душе	1	3
84	не мог	2	3
85	в их	3	3
86	но в	3	3
87	том же	1	3
88	дело в	1	3
89	одна из	1	3
90	в основе	10	3
91	в области	3	3
92	к себе	1	3
93	ли не	1	3
94	всего в	1	3
95	в виду	9	3
96	в пределах	1	3
97	одного из	1	3
98	один из	4	3
99	и прежде	1	3
100	потому что	10	3
101	этом в	1	3
102	одно из	1	3
103	и даже	6	3
104	с другой	1	3
105	не было	2	3
106	мира в	1	3
107	да и	2	3
108	этой точки	2	3
109	при всем	1	3
110	жизни и	4	3
111	что в	7	3
112	а в	1	3
113	же и	2	3
114	во всяком	2	3
115	чтобы не	1	2
116	человека и	2	2
117	и то	3	2
118	должна быть	7	2
119	от всякой	1	2
120	для своего	1	2
121	и само	2	2
122	та же	3	2
123	в сущности	5	2
124	из того	1	2
125	то это	1	2
126	к общему	1	2
127	отнюдь не	4	2
128	его я	1	2
129	общего с	3	2
