N	2gram	Nazirov_Tv_1	Retstnzi
1	не может	4	4
2	и в	21	3
3	один из	4	2
4	если в	2	2
5	достоевского и	3	2
6	и не	7	1
7	тому что	1	1
8	не только	7	1
9	связи с	1	1
10	этой проблемы	2	1
11	событий и	1	1
12	во второй	2	1
13	но и	3	1
14	и должно	1	1
15	не менее	6	1
16	русской литературы	2	1
17	в школе	1	1
18	в ней	2	1
19	может и	1	1
20	на месте	1	1
21	в то	15	1
22	подхода к	3	1
23	и на	7	1
24	для него	6	1
25	может не	2	1
26	о литературе	1	1
27	из контекста	1	1
28	второй части	2	1
29	к тому	2	1
30	а не	5	1
31	может быть	5	1
32	русского литературного	1	1
33	в его	13	1
34	он в	1	1
35	же время	12	1
36	то же	13	1
37	и все	6	1
38	в каждом	3	1
