N	3gram	Vygotskiy__2	Narrotol
1	в том что	17	8
2	с одной стороны	1	7
3	о том что	4	6
4	в отличие от	1	5
5	не может быть	8	5
6	в основе своей	1	4
7	в данном случае	4	4
8	все же не	1	4
9	с другой стороны	2	4
10	можно сказать что	1	4
11	состоит в том	2	3
12	бы то ни	2	3
13	в этом отношении	5	3
14	то ни было	1	3
15	тем не менее	4	3
16	и тем самым	1	3
17	то же время	2	3
18	в свою очередь	2	3
19	в то же	2	3
20	что иное как	1	2
21	более или менее	1	2
22	подобно тому как	2	2
23	с точки зрения	10	2
24	в таком случае	1	2
25	сами по себе	3	2
26	можно было бы	4	2
27	точно так же	3	2
28	то или иное	1	2
29	не то что	1	2
30	одного сознания к	1	2
31	так же как	4	2
32	не что иное	1	2
33	в первом случае	1	2
34	как и на	1	2
35	в связи с	1	2
36	этой точки зрения	2	2
37	того или иного	2	2
38	в конечном счете	3	2
39	сознания к другому	1	2
40	от одного сознания	1	2
41	не в состоянии	1	1
42	том что в	2	1
43	и того же	1	1
44	только потому что	2	1
45	это то что	2	1
46	в данный момент	1	1
47	на самом деле	5	1
48	в самом деле	11	1
49	и даже не	1	1
50	в этом смысле	1	1
51	том что он	3	1
52	то же самое	6	1
53	же как и	1	1
54	он не может	2	1
55	по крайней мере	1	1
56	до сих пор	5	1
57	сам по себе	4	1
58	при этом что	1	1
59	на что не	1	1
60	только то что	1	1
61	что не только	1	1
62	к тому или	1	1
63	и то что	2	1
64	по аналогии с	1	1
65	следующее место из	1	1
66	несмотря на свою	1	1
67	до наших дней	1	1
68	с этой точки	1	1
69	не могли бы	1	1
70	то что было	1	1
71	в ней не	1	1
72	может и не	1	1
73	речь идет не	1	1
74	а не только	1	1
75	капитанской дочке пушкина	1	1
76	дело не с	1	1
77	сказать что если	1	1
78	в первый раз	2	1
79	и тот же	1	1
80	сам того не	1	1
81	ни на что	1	1
82	точки зрения и	1	1
83	ней не только	1	1
84	а с другой	1	1
85	имеем дело с	1	1
86	а не как	1	1
87	может быть определена	1	1
88	в свое время	1	1
89	один и тот	1	1
90	и до наших	1	1
91	по себе не	1	1
92	было на самом	1	1
93	есть не что	1	1
94	по себе а	1	1
95	и когда он	2	1
96	в том чтобы	3	1
97	само по себе	3	1
98	в капитанской дочке	1	1
99	том что по	1	1
100	том что у	2	1
101	ему казалось что	1	1
102	одного и того	1	1
103	друг от друга	1	1
104	с другом и	1	1
105	совершенно очевидно что	1	1
106	на всем протяжении	1	1
107	оснований для такого	1	1
108	друг с другом	1	1
109	то что они	1	1
110	как и в	2	1
111	но еще не	1	1
112	он сам того	1	1
