N	4gram	Vygotskiy__1	Formalny
1	в то же время	1	8
2	с одной стороны и	1	4
3	и пр и пр	1	2
4	в свою очередь является	1	2
5	все более и более	2	2
6	и с точки зрения	1	1
7	последовательно и до конца	1	1
8	в зависимости от этого	1	1
9	в том числе и	1	1
10	и в то же	1	1
11	заключается в том чтобы	1	1
12	с этой точки зрения	1	1
13	но вместе с тем	4	1
14	независимо друг от друга	1	1
15	до сих пор почти	1	1
16	это не могло не	1	1
17	и заключается в том	1	1
18	состоит в том чтобы	1	1
19	что в данном случае	1	1
20	то же время не	1	1
