N	2gram	Tiupa_Anal_3	PoTuStor
1	может быть	9	17
2	и в	18	16
3	в этом	14	9
4	таким образом	4	9
5	и только	1	9
6	мы можем	2	9
7	прежде всего	5	9
8	точки зрения	3	8
9	и его	13	8
10	не может	2	8
11	совершенно не	2	8
12	с его	8	7
13	не только	22	7
14	сказать что	2	7
15	я и	3	6
16	самом деле	2	6
17	при этом	11	6
18	с точки	2	6
19	для него	6	6
20	и к	4	6
21	еще не	6	5
22	отношение к	1	5
23	все эти	2	5
24	нуждается в	2	5
25	ту сторону	1	5
26	как бы	10	5
27	на самом	1	4
28	и ее	2	4
29	и на	4	4
30	отнюдь не	4	4
31	но в	2	4
32	в этой	6	4
33	в нем	2	4
34	и может	1	4
35	его в	3	4
36	в один	1	4
37	мысли и	1	4
38	все это	3	4
39	по ту	1	4
40	как мы	1	4
41	с ее	3	4
42	так и	14	4
43	можно сказать	4	4
44	в его	7	4
45	а потому	1	4
46	с ними	1	4
47	только в	2	4
48	для всех	2	4
49	и их	1	4
50	и даже	8	4
51	но и	13	4
52	и не	12	4
53	и все	2	4
54	хотя бы	1	4
55	все что	1	4
56	отношения к	2	3
57	едва ли	3	3
58	во всех	2	3
59	в общем	2	3
60	и есть	1	3
61	и как	4	3
62	учение о	1	3
63	с их	3	3
64	на две	1	3
65	и теперь	1	3
66	и вот	2	3
67	этом смысле	1	3
68	реальности и	1	3
69	том что	12	3
70	никаких оснований	1	3
71	сих пор	1	3
72	в одном	4	3
73	по крайней	4	3
74	в основе	1	3
75	до сих	1	3
76	к себе	1	3
77	те же	2	3
78	мира и	2	3
79	в конечном	2	3
80	с другими	1	3
81	крайней мере	4	3
82	в том	9	3
83	в большинстве	2	3
84	большинстве случаев	1	3
85	мы знаем	1	3
86	всяком случае	2	3
87	и др	1	3
88	вместе с	2	3
89	и потому	2	3
90	как это	3	3
91	могут быть	2	3
92	что в	9	3
93	а в	10	3
94	то что	2	3
95	между ними	1	3
96	только как	1	3
97	жизни и	1	3
98	во всяком	2	3
99	нам кажется	2	2
100	в самом	5	2
101	мы уже	1	2
102	мы не	3	2
103	и о	1	2
104	говорить о	3	2
105	того же	5	2
106	на них	1	2
107	между собой	1	2
108	из этих	3	2
109	но как	3	2
110	конечном счете	2	2
111	за пределы	1	2
112	с этим	3	2
113	он не	6	2
114	нашего времени	3	2
115	и по	2	2
116	то же	3	2
117	по своему	2	2
118	связанных с	1	2
119	было бы	3	2
120	в жизни	2	2
121	в них	2	2
122	как и	14	2
123	потому и	1	2
124	это нечто	1	2
125	в своей	1	2
126	войти в	1	2
127	этих трех	1	2
128	возникает в	2	2
129	не менее	4	2
130	два полюса	1	2
131	не нуждается	1	2
132	никогда не	5	2
133	на два	2	2
134	сводится к	2	2
135	что на	1	2
136	не могут	1	2
137	и всех	1	2
138	не будет	3	2
139	в пределах	4	2
140	для этого	1	2
141	с ним	1	2
142	о том	6	2
143	путь к	3	2
144	что и	5	2
145	во всей	1	2
146	может иметь	1	2
147	один из	2	2
148	что он	4	2
149	субъективного сознания	1	2
150	и так	1	2
151	со всеми	2	2
152	есть в	1	2
153	не имеющие	1	2
154	с нею	2	2
155	да еще	1	2
156	не можем	1	2
157	в итоге	4	2
158	в начале	6	2
159	цели и	1	2
160	к ним	1	2
161	при всей	1	2
162	у него	1	2
163	и т.п	5	2
164	оно не	1	2
165	себя и	1	2
166	что не	3	2
167	что мы	2	2
168	в одно	1	2
169	с помощью	1	2
170	в частности	12	2
171	в область	1	2
172	с этой	1	2
173	в свое	2	2
174	своей жизни	1	2
175	но это	1	2
176	и для	2	2
177	в голову	1	2
178	не удается	1	2
179	не есть	4	2
180	это делает	1	2
181	не знает	1	2
182	есть и	1	2
