N	3gram	Potebnia_M_2	Literetu
1	то же время	2	9
2	в то же	2	9
3	не может быть	2	7
4	с одной стороны	3	6
5	в том что	7	5
6	состоит в том	1	4
7	с другой стороны	2	4
8	в том чтобы	1	3
9	но с другой	1	3
10	о том что	1	2
11	подобно тому как	4	2
12	в этом случае	1	2
13	и т п	3	2
14	по крайней мере	5	2
15	одно и то	2	2
16	и то же	2	2
17	тем не менее	5	2
18	в сравнении с	2	2
19	нам остается только	1	1
20	которые не могут	2	1
21	а не с	2	1
22	становится для него	1	1
23	может быть названа	1	1
24	но даже и	1	1
25	для нас как	1	1
26	одной стороны и	1	1
27	что же касается	1	1
28	в зависимость от	1	1
29	и не может	1	1
30	об одном из	3	1
31	вместе с тем	1	1
32	если б мы	1	1
33	в отличие от	1	1
34	бы то ни	1	1
35	не могут быть	3	1
36	из того что	1	1
37	состоит не в	2	1
38	до тех пор	1	1
39	с этой точки	1	1
40	для нас на	1	1
41	ничего общего с	1	1
42	для того кто	2	1
43	мы вместе с	1	1
44	для него как	1	1
45	этом случае мы	1	1
46	себя и других	1	1
47	имеет ничего общего	1	1
48	во всех этих	1	1
49	всех этих и	1	1
50	не в том	2	1
51	так велика что	1	1
52	внутренней и внешней	1	1
53	не имеет ничего	1	1
54	при этом как	1	1
55	а в том	1	1
56	мы не можем	3	1
57	в свою очередь	6	1
58	на самом деле	2	1
59	то же в	2	1
60	в одном из	1	1
61	то есть в	1	1
62	тогда как при	1	1
63	то ни было	1	1
64	после того как	2	1
65	всегда может быть	1	1
66	на самые светлые	1	1
67	для того чтобы	2	1
68	и других в	1	1
