N	3gram	Trubetskoy_1	Poddanst
1	в то же	2	7
2	то же время	2	7
3	в том что	15	4
4	с точки зрения	8	3
5	с одной стороны	2	3
6	в том числе	1	2
7	современной европейской культуры	1	2
8	и если бы	1	2
9	заключает в себе	2	2
10	в тот же	1	2
11	заключается в том	2	2
12	в том виде	2	1
13	есть не более	1	1
14	есть как бы	1	1
15	более или менее	7	1
16	в настоящее время	2	1
17	и не может	1	1
18	тот или иной	1	1
19	хотя бы это	1	1
20	и другие народы	1	1
21	совершенно ясно что	1	1
22	за то что	1	1
23	вместе с тем	2	1
24	и то что	3	1
25	что во всех	1	1
26	так же как	3	1
27	для тех кто	1	1
28	мы все же	2	1
29	а в с	1	1
30	по сравнению с	5	1
31	между тем в	1	1
32	не в том	1	1
33	во всяком случае	2	1
34	с другой стороны	4	1
35	не может быть	3	1
36	сливаются в одно	1	1
37	что эта идея	1	1
38	до тех пор	1	1
39	в области техники	1	1
40	в современной европе	1	1
41	та или иная	1	1
42	именно потому что	2	1
43	мы знаем что	7	1
44	не более как	2	1
45	тем более что	1	1
46	на пути к	1	1
47	друг с другом	9	1
48	для того чтобы	7	1
49	том числе и	1	1
