1	отличаются друг от друга	2	3
2	одного и того же	1	3
3	заключается в том что	2	2
4	бы то ни было	3	2
5	то время как другие	1	1
6	в тех случаях когда	1	1
7	но с другой стороны	2	1
8	с этой точки зрения	1	1
9	в том или ином	2	1
10	одно и то же	3	1
11	также и то что	4	1
12	как мы видели выше	1	1
13	в том что он	1	1
14	может быть и не	1	1
15	мы видели выше есть	1	1
16	даже и при таком	1	1
17	в том виде как	2	1
18	дело в том что	2	1
19	тем не менее в	1	1
20	в то время как	4	1
21	во всех этих областях	1	1
