N	2gram	Losev_Vlad_2	EvropaiC
1	таким образом	3	32
2	в том	18	31
3	и в	30	24
4	том что	12	20
5	все эти	5	19
6	не может	9	18
7	то что	20	17
8	все же	9	15
9	может быть	7	15
10	точки зрения	7	13
11	в этом	20	12
12	сих пор	1	12
13	самом деле	1	12
14	до сих	1	12
15	в своем	8	12
16	с этим	5	11
17	все это	5	11
18	из себя	1	10
19	так и	5	10
20	во всех	3	10
21	мы знаем	4	10
22	как бы	5	10
23	как и	5	9
24	на то	2	9
25	того же	5	9
26	что в	12	9
27	при этом	5	9
28	в результате	5	9
29	так же	4	8
30	и все	7	8
31	не в	9	8
32	если бы	1	8
33	ясно что	1	8
34	чем у	1	8
35	в самом	2	8
36	с точки	3	8
37	о том	4	7
38	для этого	1	7
39	не менее	7	7
40	по существу	3	7
41	того чтобы	2	7
42	к тому	2	7
43	и не	18	7
44	из этих	3	7
45	из этого	5	7
46	для того	2	7
47	но и	8	7
48	или менее	3	7
49	более или	3	7
50	и что	5	7
51	что он	13	7
52	еще не	1	6
53	в сознании	1	6
54	с ним	5	6
55	так что	5	6
56	вместе с	8	6
57	что касается	3	6
58	того что	5	6
59	и при	2	6
60	у них	1	6
61	только в	6	6
62	в этой	4	6
63	при чем	1	6
64	что и	3	6
65	и на	4	6
66	несмотря на	4	6
67	в общем	2	6
68	так как	5	6
69	в которой	4	5
70	в себе	6	5
71	и с	14	5
72	так называемого	1	5
73	ничем не	1	5
74	не будет	1	5
75	и для	3	5
76	и их	1	5
77	что это	4	5
78	у него	19	5
79	его в	4	5
80	но все	2	5
81	к этому	6	5
82	потому что	9	5
83	и от	2	5
84	тому же	1	5
85	на все	2	5
86	и к	6	5
87	в пользу	1	5
88	между двумя	1	5
89	в целом	4	5
90	лишь в	1	5
91	в то	9	5
92	что все	1	5
93	по своему	2	5
94	между собою	1	5
95	лишь только	1	5
96	в его	11	5
97	именно в	4	5
98	и если	4	5
99	как к	2	5
100	далеко не	1	5
101	быть и	1	5
102	но в	8	5
103	и без	1	5
104	что с	1	5
105	как будто	2	5
106	не только	12	5
107	одним из	1	4
108	в в	1	4
109	тех кто	1	4
110	это есть	1	4
111	связи с	8	4
112	что его	4	4
113	в виде	3	4
114	хотя бы	3	4
115	не так	1	4
116	в конце	13	4
117	в области	3	4
118	та же	1	4
119	отношение к	4	4
120	в их	2	4
121	в таком	3	4
122	конце концов	3	4
123	никогда не	7	4
124	хотя и	6	4
125	то же	4	4
126	этом случае	1	4
127	на вопрос	1	4
128	которых мы	1	4
129	в дальнейшем	5	4
130	мы должны	4	4
131	оказывается что	1	4
132	в течение	5	4
133	должно быть	3	4
134	тем не	6	4
135	мы уже	2	4
136	всех этих	3	4
137	том же	3	4
138	не могут	1	4
139	он не	4	4
140	в такой	1	4
141	и то	5	4
142	выше мы	1	4
143	если мы	1	4
144	из них	1	4
145	пор не	1	4
146	не есть	4	4
147	что по	1	3
148	может не	1	3
149	каждый из	1	3
150	для нас	7	3
151	и наконец	4	3
152	данном случае	2	3
153	в связи	8	3
154	что их	1	3
155	должны быть	1	3
156	прежде всего	6	3
157	в с	10	3
158	с в	4	3
159	мы сказали	2	3
160	в эти	7	3
161	в жизни	1	3
162	настоящее время	2	3
163	в нем	4	3
164	и вообще	10	3
165	даже в	2	3
166	ничего общего	1	3
167	и того	1	3
168	а в	11	3
169	в нашем	1	3
170	всему этому	2	3
171	не то	3	3
172	еще больше	1	3
173	в тех	1	3
174	в начале	4	3
175	это не	2	3
176	в этих	4	3
177	очень много	2	3
178	отличие от	3	3
179	от него	1	3
180	что если	2	3
181	у нас	6	3
182	тот же	5	3
183	то ни	1	3
184	по одному	1	3
185	можно назвать	2	3
186	во всем	1	3
187	уже и	2	3
188	и потому	2	3
189	к которой	1	3
190	и может	2	3
191	но даже	1	3
192	и других	1	3
193	не вполне	2	3
194	от того	1	3
195	в настоящее	2	3
196	как у	2	3
197	как известно	1	3
198	мы будем	3	3
199	на земле	2	3
200	представление о	1	3
201	при помощи	1	3
202	тем более	3	3
203	но по	2	3
204	чем в	1	3
205	целый ряд	1	3
206	что только	1	3
207	с тем	2	3
208	так или	3	3
209	заключается в	2	3
210	и это	3	3
211	конечно не	4	3
212	или иначе	3	3
213	что мы	1	3
214	и по	2	3
215	в данном	3	3
216	и из	2	2
217	сводится к	1	2
218	в них	3	2
219	но не	3	2
220	следует что	1	2
221	что такие	1	2
222	к той	2	2
223	невозможно но	2	2
224	же время	3	2
225	во всяком	6	2
226	что несмотря	1	2
227	говорить о	1	2
228	тех же	1	2
229	мы и	1	2
230	этого последнего	2	2
231	только не	1	2
232	на том	1	2
233	что они	1	2
234	ко всему	4	2
235	а это	3	2
236	никто не	1	2
237	ответить на	1	2
238	и ее	1	2
239	не было	10	2
240	вовсе не	4	2
241	только при	1	2
242	гораздо более	2	2
243	к нему	2	2
244	пришлось бы	1	2
245	совершенно ясно	1	2
246	если это	1	2
247	то есть	7	2
248	но с	1	2
249	только то	1	2
250	это конечно	1	2
251	культура не	1	2
252	между прочим	7	2
253	между ними	1	2
254	если он	1	2
255	не очень	4	2
256	в ней	4	2
257	то в	5	2
258	те же	3	2
259	по его	1	2
260	которой мы	2	2
261	вся его	1	2
262	независимо от	1	2
263	что же	8	2
264	все его	1	2
265	все то	1	2
266	к такому	3	2
267	а для	1	2
268	с этой	4	2
269	с общим	1	2
270	для него	9	2
271	что она	1	2
272	в себя	1	2
273	но если	1	2
274	но как	1	2
275	он все	2	2
276	мы видели	2	2
277	что для	2	2
278	было принято	1	2
279	и весь	1	2
280	на месте	1	2
281	и сам	2	2
282	на него	1	2
283	во внимание	1	2
284	точке а	1	2
285	они не	1	2
286	как мы	11	2
287	которую он	7	2
288	то с	2	2
289	другими словами	5	2
290	то и	1	2
291	тогда когда	2	2
292	в свою	3	2
293	только одно	3	2
294	общего с	1	2
295	жизни и	6	2
296	свою очередь	2	2
297	в сущности	2	2
298	бы то	1	2
299	что до	1	2
300	всяком случае	6	2
301	со своей	2	2
302	к ним	1	2
303	однако при	1	2
304	как тот	1	2
305	до тех	1	2
306	него в	4	2
307	что эти	2	2
308	очень мало	1	2
309	или вовсе	1	2
310	на первый	2	2
311	в котором	5	2
312	из нее	1	2
313	считать его	1	2
314	а к	2	2
315	такой же	1	2
316	она не	2	2
317	также и	6	2
318	все дело	1	2
319	только тогда	2	2
320	на этом	2	2
321	же касается	5	2
322	этот вопрос	1	2
323	в частности	2	2
324	чтобы быть	1	2
325	и до	2	2
326	от нее	1	2
327	в которых	1	2
328	в глазах	1	2
329	было бы	9	2
330	и особенно	3	2
331	в самой	1	2
332	со своими	1	2
333	этих двух	1	2
334	на нее	1	2
335	в виду	2	2
336	в общей	1	2
337	мы все	1	2
338	том чтобы	2	2
339	него с	1	2
340	и начало	1	2
341	но для	1	2
342	во втором	1	2
343	эти мысли	1	1
344	что между	1	1
345	не могла	2	1
346	поездки в	1	1
347	этих новых	1	1
348	к нашим	2	1
349	может только	1	1
350	той ступени	1	1
351	быть самым	1	1
352	начала в	1	1
353	надо считать	1	1
354	имелись в	1	1
355	на его	4	1
356	а а	3	1
357	ведь в	1	1
358	этого нужно	1	1
359	с к	1	1
360	друг друга	2	1
