N	3gram	Tiupa_Hudo_1	Stilisti
1	в то же	8	9
2	то же время	8	7
3	с точки зрения	3	5
4	того или иного	2	5
5	прежде всего в	1	4
6	то же самое	1	4
7	ту или иную	2	4
8	о своей жизни	1	4
9	то что мы	1	4
10	в свою очередь	1	4
11	с самого начала	1	4
12	на самом деле	1	3
13	заключает в себе	1	3
14	не только в	2	3
15	в конце концов	1	3
16	но все же	1	3
17	та же самая	1	2
18	и в то	1	2
19	в этом отношении	3	2
20	только потому что	2	2
21	в значительной степени	2	2
22	но в то	3	2
23	мы не знаем	1	2
24	на первый взгляд	1	2
25	но при этом	1	2
26	как бы в	1	2
27	не может быть	2	2
28	связи с этим	2	2
29	о том что	9	2
30	в связи с	3	2
31	к тому что	4	2
32	что ведь и	1	1
33	прежде всего на	1	1
34	по отношению к	8	1
35	более или менее	1	1
36	в самом деле	4	1
37	гораздо большей степени	1	1
38	этом не только	1	1
39	до сих пор	2	1
40	при этом мы	1	1
41	и та же	1	1
42	в себе и	1	1
43	нет ничего удивительного	1	1
44	при этом не	1	1
45	можно было бы	4	1
46	и нельзя было	1	1
47	лишь то что	1	1
48	в литературном произведении	1	1
49	здесь нет и	1	1
50	не смог бы	1	1
51	это прежде всего	2	1
52	как по отношению	1	1
53	и в этом	1	1
54	тем не менее	3	1
55	так и от	2	1
56	на вопросе о	1	1
57	одна и та	1	1
58	между этими двумя	1	1
59	вполне достаточно чтобы	1	1
60	вследствие того что	1	1
61	друг друга и	1	1
62	содержит в себе	1	1
63	это еще не	1	1
64	не останется и	1	1
65	не может не	1	1
66	между тем в	1	1
67	в конечном счете	2	1
68	не только не	1	1
69	не только на	1	1
70	в русской литературе	3	1
71	обмен репликами со	1	1
72	только в том	2	1
73	ни единого слова	1	1
74	я до сих	1	1
75	в гораздо большей	1	1
76	в своей жизни	1	1
77	та или иная	3	1
78	же как мы	1	1
79	мы уже знаем	2	1
80	в том что	6	1
81	перед нами не	1	1
82	как и в	3	1
83	которой я до	1	1
84	на наш взгляд	2	1
85	быть может и	1	1
