N	4gram	Bakhtin_fo_2	Problema
1	в то же время	4	3
2	ни в чем не	1	2
3	и в то же	2	2
4	может быть и должно	1	1
5	и как бы уже	1	1
6	не выходит за пределы	1	1
7	между вторым и третьим	1	1
8	в то время как	1	1
9	не для того чтобы	2	1
10	на первый план выступает	1	1
11	именно в том что	1	1
12	формы и прежде всего	1	1
13	но в то же	1	1
14	быть и должно быть	1	1
15	и в этом отношении	1	1
16	и т п имеет	1	1
17	с прошлым и будущим	1	1
18	к себе самому к	1	1
19	здесь в большинстве случаев	1	1
20	на протяжении всего романа	2	1
