N	2gram	Bakhtin_Pr_3	Hudozhes
1	в мире	4	23
2	то есть	1	18
3	и не	29	16
4	в том	3	15
5	и в	34	15
6	не только	10	15
7	может быть	19	13
8	и его	16	12
9	при этом	4	12
10	а в	5	12
11	в себе	6	11
12	в этом	16	11
13	но не	4	11
14	я в	4	11
15	отношению к	6	10
16	так и	6	10
17	но и	12	10
18	то же	14	10
19	по отношению	5	10
20	а не	9	10
21	как бы	27	10
22	точки зрения	8	9
23	в его	22	9
24	сводится к	3	8
25	своего рода	2	8
26	себя в	1	8
27	в душе	2	8
28	я и	2	7
29	отличие от	2	7
30	в то	12	7
31	внутренней речи	4	7
32	в отличие	2	7
33	с другой	4	7
34	но в	16	7
35	или иной	2	7
36	приводит к	1	6
37	же время	12	6
38	не может	19	6
39	что в	7	6
40	не в	9	6
41	по своей	1	6
42	в ее	3	6
43	отношение к	6	6
44	в основе	1	6
45	с его	6	6
46	том что	3	6
47	с ее	3	5
48	можно сказать	1	5
49	в нем	19	5
50	в их	1	5
51	ни в	4	5
52	того что	5	5
53	между ними	1	5
54	то что	11	5
55	героя и	9	5
56	я с	1	5
57	уже не	2	5
58	другой стороны	3	5
59	в самом	8	5
60	только в	6	5
61	той или	2	5
62	не знает	6	4
63	в форме	2	4
64	еще не	4	4
65	в другом	8	4
66	входит в	2	4
67	хотя и	3	4
68	говорить о	3	4
69	прежде всего	15	4
70	самим собой	6	4
71	к которому	2	4
72	в своей	3	4
73	например в	2	4
74	для него	13	4
75	отношения к	1	4
76	между тем	3	4
77	к тому	5	4
78	в этих	1	4
79	сказать что	2	4
80	в слове	5	4
81	не столько	1	4
82	без исключения	3	4
83	он не	15	4
84	как к	4	4
85	и то	3	4
86	роли в	1	4
87	и как	3	4
88	говорит и	1	3
89	и того	2	3
90	одно и	1	3
91	как и	18	3
92	в которой	2	3
93	но он	3	3
94	того же	2	3
95	и для	8	3
96	и ее	2	3
97	не менее	3	3
98	таким образом	5	3
99	в произведении	1	3
100	к нему	14	3
101	человека с	3	3
102	как раз	4	3
103	так в	2	3
104	того или	2	3
105	его в	4	3
106	этом смысле	4	3
107	в рассказе	1	3
108	потому что	12	3
109	что он	23	3
110	в той	2	3
111	это не	5	3
112	и к	12	3
113	мог бы	2	3
114	в целом	5	3
115	одного и	1	3
116	герой не	2	3
117	к его	1	3
118	лишь в	5	3
119	в отношении	9	3
120	всех без	1	3
121	тем не	2	3
122	во всей	1	3
123	их в	3	3
124	и что	5	3
125	человека к	1	3
126	далеко не	3	3
127	с точки	4	3
128	не случайно	1	3
129	однако в	2	3
130	о чем	2	3
131	он должен	2	3
132	в пределах	6	3
133	в виду	3	3
134	если бы	4	3
135	по своему	3	3
136	в данном	1	3
137	в свою	1	3
138	все эти	4	2
139	что каждый	1	2
140	и позволяет	1	2
141	к герою	7	2
142	в значительной	1	2
143	но она	1	2
144	или в	1	2
145	одной из	1	2
146	было и	2	2
147	так же	8	2
148	случае не	1	2
149	никто не	1	2
150	и больше	1	2
151	здесь не	1	2
152	вовсе не	11	2
153	в этой	1	2
154	с ним	8	2
155	при всей	2	2
156	в аспекте	1	2
157	даже в	5	2
158	на этом	4	2
159	бы не	2	2
160	или напротив	1	2
161	с другими	4	2
162	того чтобы	1	2
163	во всех	2	2
164	по себе	3	2
165	вследствие этого	2	2
166	в одном	5	2
167	слова не	2	2
168	в итоге	1	2
