N	3gram	Vygotskiy__2	Tragedij
1	то же время	2	5
2	в то же	2	5
3	в отличие от	1	2
4	точно так же	3	2
5	это очень важно	1	2
6	и в частности	1	2
7	в данном случае	4	2
8	бросается в глаза	1	2
9	о том что	4	2
10	и в самом	4	2
11	в том что	17	2
12	в этом случае	1	1
13	а между тем	1	1
14	том что он	3	1
15	и с этими	1	1
16	имеет в виду	1	1
17	и не может	2	1
18	сам по себе	4	1
19	но и на	1	1
20	что он не	2	1
21	и то что	2	1
22	и т п	8	1
23	за то что	1	1
24	в борьбе за	1	1
25	что все это	2	1
26	может быть не	1	1
27	он считает что	1	1
28	во всяком случае	2	1
29	не к области	1	1
30	в высшей степени	1	1
31	в конце концов	3	1
32	объясняется тем что	1	1
33	в чем же	1	1
34	но при этом	1	1
35	по сравнению с	2	1
36	тем не менее	4	1
37	не могут быть	1	1
38	что в таком	1	1
39	но только он	1	1
40	начала и до	2	1
41	все же не	1	1
42	в связи с	1	1
43	он сказал что	1	1
44	вместо того чтобы	1	1
45	не может быть	8	1
46	с того что	1	1
47	с самого начала	1	1
48	не только не	1	1
49	ничего подобного нет	1	1
50	в самом деле	11	1
51	несмотря на все	3	1
52	с тем и	1	1
53	на всем протяжении	1	1
54	могут быть отнесены	1	1
55	после того как	1	1
56	к тому что	2	1
57	как и в	2	1
58	в неизмеримо более	1	1
