N	2gram	Losev_Prob_5	StatiiOP
1	и в	30	29
2	том что	17	27
3	в том	12	27
4	в этом	17	21
5	не только	18	19
6	но и	13	19
7	что в	5	19
8	о том	12	17
9	в трагедии	4	17
10	в и	1	13
11	в его	12	13
12	что он	7	13
13	между прочим	1	12
14	своей трагедии	1	12
15	в которой	5	11
16	то что	18	11
17	все это	1	11
18	таким образом	13	10
19	к тому	2	10
20	и т	1	9
21	в своем	11	9
22	он не	3	9
23	потому что	13	9
24	так и	7	9
25	этом отношении	1	9
26	и не	12	9
27	но в	9	8
28	как раз	5	8
29	его трагедии	1	8
30	по поводу	2	8
31	я не	2	7
32	в ней	3	7
33	в самом	5	7
34	так например	1	7
35	но все	4	7
36	в г	1	7
37	в своей	22	7
38	в котором	2	7
39	не столько	1	7
40	тому что	1	7
41	того как	5	7
42	для того	3	7
43	в виду	3	7
44	с тем	5	7
45	вместе с	7	7
46	вопрос о	1	6
47	и на	6	6
48	все же	9	6
49	т д	1	6
50	факт что	2	6
51	вовсе не	8	6
52	того чтобы	2	6
53	и его	6	6
54	об этом	4	6
55	и что	6	6
56	в одном	3	6
57	до сих	2	6
58	г в	1	5
59	было бы	4	5
60	точки зрения	10	5
61	в русской	3	5
62	не знали	1	5
63	была бы	2	5
64	того что	3	5
65	между тем	2	5
66	в качестве	4	5
67	своего рода	1	5
68	обратить внимание	3	5
69	прежде всего	6	5
70	а не	5	5
71	о чем	1	5
72	как бы	6	5
73	сих пор	2	5
74	если б	1	4
75	то обстоятельство	1	4
76	кроме того	2	4
77	хотя и	8	4
78	и к	4	4
79	по словам	2	4
80	в нем	6	4
81	что у	5	4
82	в другом	3	4
83	и с	5	4
84	должен был	1	4
85	не в	7	4
86	еще до	2	4
87	дело в	2	4
88	ничего не	2	4
89	обстоятельство что	2	4
90	и о	5	4
91	трагедию в	1	4
92	времени и	1	4
93	после того	3	4
94	внимание на	3	4
95	но с	1	4
96	связи с	7	4
97	при помощи	6	4
98	до того	1	4
99	с другой	6	4
100	именно в	3	4
101	в частности	4	4
102	тот факт	1	4
103	еще более	3	4
104	а как	1	4
105	в романе	1	4
106	к этому	2	4
107	самом деле	2	3
108	на самом	1	3
109	в году	5	3
110	в их	1	3
111	по его	2	3
112	его не	2	3
113	хотя бы	2	3
114	и он	4	3
115	не был	1	3
116	но не	7	3
