1	в то время как	3	5
2	отнюдь не означает что	1	2
3	не в том чтобы	1	2
4	в силу того что	1	2
5	уже не может быть	1	1
6	один и тот же	2	1
7	все дело в том	1	1
8	и тем не менее	2	1
9	дело в том что	2	1
10	с одной стороны и	1	1
11	образом мы видим что	1	1
12	речь идет именно о	1	1
13	т д все это	1	1
14	таким образом мы видим	1	1
15	и т д все	3	1
16	и т д то	1	1
17	само по себе не	1	1
18	о том что она	1	1
19	это отнюдь не означает	1	1
20	в том случае когда	1	1
21	так же как и	1	1
22	не что иное как	1	1
23	что речь идет именно	1	1
24	то мы увидим что	1	1
