N	3gram	Savitsky_P_1	Hudozhes
1	в отличие от	1	7
2	в то же	7	6
3	то же время	7	6
4	с другой стороны	1	5
5	в том что	4	5
6	более или менее	1	5
7	в этом смысле	1	3
8	с точки зрения	3	3
9	с одной стороны	3	2
10	в том числе	2	2
11	и в то	2	2
12	для того чтобы	1	2
13	в этом мире	1	2
14	тот или иной	1	2
15	том числе и	1	2
16	можно говорить о	1	1
17	сколько бы ни	1	1
18	и тем самым	1	1
19	в отдельности и	1	1
20	так же как	1	1
21	тем и другим	1	1
22	эти могут быть	1	1
23	но в отличие	1	1
24	только в условиях	1	1
25	именно потому что	1	1
26	в настоящее время	1	1
27	в частности в	1	1
28	и теперь в	1	1
29	в русской культуре	1	1
30	и тем более	1	1
31	в сравнении с	3	1
32	мы видим в	1	1
33	в полной мере	2	1
34	в известном смысле	1	1
35	ни к чему	1	1
36	та или иная	1	1
37	заключает в себе	2	1
38	не может быть	1	1
39	не только мы	1	1
40	есть как бы	1	1
41	в отношении к	5	1
