N	2gram	Nazirov_Tv_2	Komedia
1	и в	20	22
2	и не	9	21
3	молодого человека	1	14
4	том что	4	13
5	таким образом	10	12
6	в том	8	12
7	так как	3	11
8	со стороны	1	11
9	в доме	1	10
10	в комедии	1	10
11	ни в	1	10
12	потому что	7	10
13	в самом	3	9
14	до сих	3	9
15	вместе с	3	9
16	сих пор	3	9
17	в этом	8	8
18	его в	3	8
19	в глазах	1	8
20	к ней	1	8
21	о том	5	8
22	если бы	4	8
23	в его	10	8
24	что и	1	8
25	что он	6	8
26	молодой человек	1	8
27	едва ли	2	7
28	то же	7	7
29	при этом	8	7
30	об этом	4	7
31	в конце	6	7
32	а в	4	7
33	в свою	1	7
34	самом деле	2	6
35	еще не	5	6
36	ничуть не	1	6
37	так что	2	6
38	тому же	2	6
39	в то	10	6
40	и его	9	6
41	к тому	1	6
42	свою очередь	1	6
43	ясно что	1	6
44	и что	2	6
45	может быть	8	6
46	как раз	1	6
47	во время	1	6
48	к этому	3	6
49	речь идет	1	5
50	что его	2	5
51	отношение к	1	5
52	но в	4	5
53	не только	13	5
54	а по	1	5
55	он не	3	5
56	в своей	6	5
57	в которых	3	5
58	то это	1	5
59	не менее	2	5
60	же время	7	5
61	связи с	1	5
62	к себе	1	5
63	и сам	5	5
64	хотя и	4	5
65	с ним	3	5
66	любви к	3	5
67	что в	7	5
68	по отношению	3	5
69	из них	2	5
70	тем что	3	5
71	прежде всего	8	5
72	как это	1	5
73	все это	6	5
74	и т	13	4
75	на себя	1	4
76	он был	1	4
77	с другой	2	4
78	тут же	2	4
79	нет и	2	4
80	отнюдь не	4	4
81	все же	5	4
82	когда он	4	4
83	то что	3	4
84	в себе	3	4
85	что она	4	4
86	совпадают с	1	4
87	и с	8	4
88	должен был	1	4
89	несмотря на	1	4
90	не в	4	4
91	однако в	1	4
92	с ребенком	1	4
93	самого начала	1	4
94	на него	2	4
95	у него	6	4
96	и здесь	1	4
97	с самого	1	4
98	друг друга	2	4
99	так и	6	4
100	между собой	1	4
101	и поэтому	2	4
102	сразу же	1	4
103	не дает	1	4
104	т п	2	4
105	вовсе не	2	4
106	но и	8	4
107	а не	6	4
108	в связи	1	4
109	не является	3	4
110	и для	1	4
111	так же	5	4
112	который в	1	3
113	говорить о	2	3
114	столь же	1	3
115	с его	1	3
116	в ее	2	3
117	с этим	1	3
118	и к	1	3
119	в которой	2	3
120	представляет собой	1	3
121	в этой	5	3
122	на то	1	3
123	в нем	3	3
124	при виде	2	3
125	приводит к	2	3
126	было бы	1	3
127	в них	1	3
128	как и	6	3
129	и еще	2	3
130	но если	2	3
131	том как	1	3
132	в iii	1	3
133	их в	2	3
134	не имеет	1	3
135	никогда не	11	3
136	ничего не	4	3
137	на это	1	3
138	возможно что	1	3
139	с полным	2	3
140	одного из	1	3
141	и мы	3	3
142	не зная	1	3
143	любовь к	1	3
144	не о	1	3
145	одной из	3	3
146	с одной	1	3
147	в начале	3	3
148	что не	3	3
149	не так	2	3
150	всяком случае	2	3
151	отношению к	3	3
152	цитаты из	1	3
153	и даже	5	3
154	даже не	1	3
155	ему не	1	3
156	перед ним	1	3
157	на этот	2	3
158	один из	3	3
159	не он	1	3
160	если не	4	3
161	в частности	2	3
162	не может	7	3
163	в течение	1	3
164	как бы	11	3
165	с этой	3	3
166	в целом	6	3
167	бы он	1	3
168	теперь же	1	3
169	не знает	1	3
170	во всяком	2	3
171	так я	1	2
172	человека и	3	2
173	даже если	1	2
174	такое же	1	2
175	перед лицом	1	2
176	из его	1	2
177	г в	1	2
178	мы не	4	2
179	х годов	3	2
180	представление о	7	2
181	и он	2	2
182	но при	1	2
183	и на	5	2
184	точнее не	1	2
185	во всех	1	2
186	в изображении	1	2
187	его а	1	2
188	он говорит	1	2
189	конечном счете	1	2
190	отличие от	2	2
191	что они	4	2
192	и я	1	2
193	как в	4	2
194	стороны и	1	2
195	в известной	4	2
196	ней в	1	2
197	в результате	1	2
198	бы не	2	2
199	после чего	1	2
200	если он	5	2
201	и если	2	2
202	на его	4	2
203	после этого	1	2
204	о которой	1	2
205	кто из	1	2
206	в силу	1	2
207	человека в	3	2
208	а затем	3	2
209	в мире	5	2
210	из всех	1	2
211	не с	1	2
212	с другими	2	2
213	это не	7	2
214	который по	1	2
215	как видно	1	2
216	я говорю	1	2
217	в развитии	1	2
218	над его	1	2
219	остается в	1	2
220	не мог	1	2
221	в г	1	2
222	доводит до	2	2
223	этой связи	1	2
224	и без	2	2
225	в котором	3	2
226	в их	3	2
227	сам себя	1	2
228	в одном	2	2
229	как видим	1	2
230	сам он	1	2
231	тому что	1	2
232	она не	1	2
233	что с	1	2
234	вплоть до	1	2
235	в основе	2	2
236	в области	1	2
237	в руки	2	2
238	одним из	3	2
239	и со	1	2
240	он называет	1	2
241	нет ни	1	2
242	надежды на	1	2
243	ли не	2	2
244	отказаться от	2	2
245	если же	1	2
246	и это	3	2
247	как мы	1	2
248	и о	1	2
249	в виду	1	2
250	за пределами	1	2
251	то время	1	2
252	роль в	2	2
253	в образе	3	2
254	можно было	1	2
255	она была	1	2
256	наряду с	7	2
257	именно потому	1	2
258	в другом	1	2
259	на вопрос	1	2
260	брак с	2	2
261	в конечном	1	2
262	между тем	3	2
263	нуждается в	1	2
264	все время	2	2
265	тот же	1	2
266	должен быть	1	2
267	трагедии и	1	2
268	по мнению	3	2
269	и ее	2	2
270	не мешает	2	2
271	уже в	2	2
272	с женой	1	2
273	мы знаем	1	2
274	был бы	1	2
275	при всей	1	2
276	представляют собой	1	2
277	до начала	1	2
278	хоть и	1	2
279	что для	1	2
280	не было	2	2
281	сцена с	1	2
282	а сам	1	2
283	в произведениях	2	2
284	под влиянием	1	2
285	и особенно	1	2
286	в пределах	1	2
287	не могут	1	2
288	только для	2	2
289	нет ничего	3	2
290	при всем	1	2
291	нет никаких	1	2
292	из этой	2	2
293	а о	1	2
294	между ними	1	2
295	только как	1	2
296	другой стороны	2	2
297	совершенно не	1	2
298	из этого	2	2
299	в своих	3	2
300	в таком	3	2
301	каким его	1	1
302	лишь ее	1	1
303	например в	5	1
304	по адресу	1	1
305	двери в	1	1
306	свою жену	1	1
307	готовясь к	1	1
308	в первом	1	1
309	и до	1	1
310	видеть в	1	1
311	ней нет	1	1
312	их жизни	1	1
313	это совершенно	1	1
314	преступления и	2	1
315	этом не	1	1
316	начинается с	2	1
317	на глазах	1	1
318	требует от	1	1
319	я не	2	1
320	не сводится	1	1
321	нет ли	1	1
322	в сцене	1	1
323	собой в	1	1
324	в большинстве	1	1
325	он сам	3	1
326	все эти	4	1
327	не был	1	1
328	в чем	4	1
329	не без	1	1
330	но не	5	1
331	но как	1	1
332	к которой	1	1
333	и всякий	1	1
334	которую она	1	1
335	если в	1	1
336	ответ на	1	1
337	должны были	1	1
338	предположение что	1	1
339	глаза его	1	1
340	в истории	2	1
341	не видно	1	1
342	в одной	3	1
343	в голубом	1	1
344	общего с	1	1
345	одном из	2	1
346	это был	3	1
347	перед нами	1	1
348	третий раз	1	1
349	на земле	1	1
350	как уже	1	1
351	и как	1	1
352	и наконец	2	1
353	в этот	2	1
354	трагический пафос	1	1
355	для которого	2	1
356	он дал	1	1
357	из жизни	2	1
358	отказывается от	2	1
359	за это	1	1
360	чуть ли	1	1
361	из этих	1	1
362	связанного с	1	1
363	в случае	1	1
364	сцену в	1	1
365	в статье	2	1
366	сказать в	1	1
367	или очень	1	1
368	т д	11	1
369	по крайней	2	1
370	еще раньше	1	1
371	которой не	1	1
372	в первую	1	1
373	моменты которые	1	1
374	не являются	1	1
375	к одному	1	1
376	не к	1	1
377	уже говорилось	1	1
378	том чтобы	1	1
379	дает и	1	1
380	на жизнь	1	1
381	апеллирует к	1	1
382	эта же	1	1
383	начала действия	1	1
384	в каждом	1	1
385	что все	1	1
386	же не	2	1
387	то чтобы	1	1
388	значение в	1	1
389	и дальше	1	1
390	той же	1	1
391	говорил что	2	1
392	себя не	1	1
393	дело но	1	1
394	своего заблуждения	1	1
395	которого не	1	1
396	образом если	1	1
397	подходит к	1	1
398	облегчение в	1	1
399	известно что	2	1
400	в свой	2	1
401	приходит в	1	1
402	участие в	1	1
403	во многом	2	1
404	его и	2	1
405	для них	1	1
406	от которого	1	1
407	нет в	1	1
408	зная о	1	1
409	соответствии с	4	1
410	этого персонажа	1	1
411	со своими	2	1
412	а завершение	1	1
413	очень важный	1	1
414	бога и	1	1
415	такой же	2	1
416	его образ	1	1
417	от своего	1	1
418	таким же	1	1
419	человек и	1	1
420	это делает	1	1
421	вины в	1	1
422	место в	3	1
423	не столько	2	1
424	в отличие	2	1
425	знаем что	1	1
426	что я	2	1
427	признать что	1	1
428	после опубликования	1	1
429	сам же	1	1
430	точку зрения	2	1
431	образом и	1	1
432	такую же	1	1
433	но он	1	1
434	женского пола	1	1
435	том же	2	1
436	в устах	2	1
437	не имеющего	1	1
438	автора это	1	1
439	о будущем	1	1
440	эта мысль	2	1
441	женился на	1	1
442	виду что	1	1
443	в обоих	1	1
444	я тебя	1	1
445	текста и	1	1
446	на себе	1	1
447	он еще	2	1
448	себе самом	1	1
449	он с	1	1
450	и лишь	2	1
451	и по	2	1
452	но очень	1	1
453	вот что	1	1
454	же он	1	1
455	и глаза	1	1
456	со своим	1	1
457	в сознании	1	1
458	жизнь во	1	1
459	что впрочем	1	1
460	что на	2	1
461	ли это	1	1
462	явно не	1	1
463	у меня	1	1
464	свое собственное	1	1
465	представляется нам	1	1
466	если у	2	1
467	не давая	1	1
468	находившихся в	1	1
469	могут быть	2	1
470	похож на	1	1
471	как только	1	1
472	числе и	1	1
473	указывает на	1	1
474	это я	1	1
475	полным правом	2	1
476	однако по	1	1
477	принять за	1	1
478	с собственной	1	1
479	эта последняя	1	1
480	приходит к	1	1
481	чувство стыда	2	1
482	меня в	1	1
483	и от	4	1
484	в себя	1	1
485	действия и	2	1
486	лет подряд	1	1
487	его были	1	1
488	в живых	1	1
489	что у	4	1
490	с собой	1	1
491	он привез	1	1
492	особенно в	2	1
493	живет в	1	1
494	мог бы	1	1
495	когда в	1	1
496	вошел в	1	1
497	в которые	1	1
498	отца или	1	1
499	жизнь и	1	1
500	и всякого	1	1
501	несколько в	1	1
502	сводится к	2	1
503	столетия после	1	1
504	последний монолог	1	1
505	в пользу	3	1
506	может не	1	1
507	там же	9	1
508	мы понимаем	1	1
509	восходит к	2	1
510	каждом из	1	1
511	первую очередь	1	1
512	то в	1	1
513	этот момент	1	1
514	но нет	1	1
