N	3gram	Berdyaev_M_2	Dialekti
1	с точки зрения	1	12
2	сама по себе	1	8
3	в том что	2	7
4	не есть ни	1	6
5	сам по себе	1	6
6	в нем есть	6	6
7	на то что	1	4
8	потому что он	2	3
9	в нем нет	2	3
10	может быть и	2	3
11	в конце концов	1	3
12	и в этом	3	3
13	не может быть	8	3
14	та или иная	1	3
15	но это –	1	3
16	той или иной	1	3
17	что это –	1	2
18	я никогда не	2	2
19	на самом деле	1	2
20	до сих пор	3	2
21	что он не	1	2
22	на что не	1	2
23	в этом отношении	1	2
24	то в чем	1	2
25	так как он	2	2
26	по сравнению с	1	2
27	ни на что	1	2
28	и в нем	1	2
29	друг к другу	5	2
30	одна и та	2	2
31	ни в чем	2	2
32	это и есть	3	2
33	о том что	2	2
34	к тому что	3	2
35	и та же	2	2
36	– это есть	1	1
37	а между тем	1	1
38	в чем не	2	1
39	я не могу	1	1
40	и той же	2	1
41	а не о	1	1
42	он сам в	1	1
43	в необъятное и	1	1
44	если он –	1	1
45	познания добра и	2	1
46	и быть может	1	1
47	но для этого	2	1
48	но это не	2	1
49	если бы не	1	1
50	деле то что	1	1
51	при чем тут	1	1
52	и более ничего	1	1
53	жизнь и не	1	1
54	и в себе	1	1
55	что это за	1	1
56	бы и не	1	1
57	но это и	1	1
58	если бы для	1	1
59	не потому что	1	1
60	никогда не есть	1	1
61	в отношении к	2	1
62	она никогда не	3	1
63	и должно быть	1	1
64	то стало быть	1	1
65	которые могли бы	1	1
66	не могу не	1	1
67	его отношении к	1	1
68	по нему можно	1	1
69	к другу как	1	1
70	но так как	1	1
71	это не есть	1	1
72	ней ничего не	1	1
73	как у тютчева	1	1
74	сих пор не	1	1
75	не есть религия	1	1
76	есть не что	3	1
77	вопрос можно ли	1	1
78	но также и	1	1
79	они были бы	1	1
80	а не только	1	1
81	потому что нет	1	1
82	иначе не может	1	1
83	у них есть	1	1
84	между тем в	1	1
85	хотя бы в	1	1
86	ничего подобного нет	1	1
87	это – чисто	1	1
88	добра и зла	5	1
89	что иное как	3	1
90	и не то	1	1
91	что это не	2	1
92	претендует говорить о	1	1
93	есть прежде всего	5	1
94	никогда не бывает	2	1
95	одной и той	2	1
96	не что иное	3	1
97	точки зрения так	1	1
98	для того чтобы	4	1
99	не сама по	1	1
100	она не может	1	1
