N	4gram	Tiupa_Hudo_1	formyVre
1	в то же время	5	6
2	одного и того же	2	5
3	и в то же	1	4
4	одно и то же	3	3
5	в том числе и	1	2
6	имеет место слияние пространственных	1	1
7	в том специфическом значении	1	1
8	в той или иной	2	1
9	место слияние пространственных и	1	1
10	временных примет в осмысленном	1	1
11	в одном и том	1	1
12	не было и не	1	1
13	и временных примет в	1	1
14	как раз в том	1	1
15	слияние пространственных и временных	1	1
16	мы имеем в виду	3	1
17	примет в осмысленном и	1	1
18	не может быть и	1	1
19	было и не могло	1	1
20	с самим собою в	1	1
21	пространственных и временных примет	1	1
22	в осмысленном и конкретном	1	1
23	хронотопе имеет место слияние	1	1
24	но и прежде всего	1	1
25	одном и том же	1	1
26	человека с самим собою	1	1
27	осмысленном и конкретном целом	1	1
28	и не могло быть	2	1
