N	4gram	Propp_Russ_1	Vvedenie
1	не что иное как	2	4
2	состоит в том что	8	2
3	как мы уже знаем	1	2
4	сомнений в том что	1	2
5	во второй половине xix	1	1
6	представляют собой не что	1	1
7	второй половине xix в	1	1
8	одного и того же	1	1
9	может быть и не	1	1
10	в первой половине xix	1	1
11	собой не что иное	1	1
12	в целом ряде других	1	1
13	и т д и	1	1
14	во всяком случае не	1	1
15	можно сказать что в	1	1
16	первой половине xix в	1	1
17	но вместе с тем	1	1
18	самом деле как мы	1	1
19	приходит к выводу что	1	1
20	на самом деле как	1	1
21	одном и том же	1	1
22	в одном и том	1	1
