N	3gram	Potebnia_M_1	NovoeSre
1	не может быть	9	4
2	подобно тому как	3	3
3	лицом к лицу	1	3
4	в этом смысле	4	2
5	что в нем	1	2
6	так же как	1	2
7	с одной стороны	3	2
8	с другой стороны	5	2
9	вопрос о том	1	2
10	в том и	2	2
11	она не может	1	2
12	и того же	2	1
13	и в жизни	1	1
14	только потому что	2	1
15	а не в	1	1
16	одного и того	2	1
17	потому что не	4	1
18	а не для	1	1
19	до сих пор	1	1
20	смысле в каком	4	1
21	но и потому	1	1
22	в жизни народа	1	1
23	сами по себе	1	1
24	но и в	4	1
25	заключает в себе	2	1
26	можно было бы	1	1
27	и в истории	1	1
28	может быть только	1	1
29	было бы сказать	1	1
30	к духу и	1	1
31	том смысле в	3	1
32	не только в	3	1
33	и не могут	1	1
34	и потому что	2	1
35	не могут быть	2	1
36	не в том	4	1
37	во всяком случае	1	1
38	лишь в том	1	1
39	о том что	1	1
40	в то время	1	1
41	то что в	1	1
42	хотим сказать что	1	1
43	имея в виду	1	1
44	истории но и	1	1
45	не только потому	1	1
46	это значит что	1	1
47	которые могут быть	1	1
48	в том смысле	4	1
49	помнить что в	1	1
50	быть не может	2	1
51	в том что	13	1
52	как и в	2	1
