N	3gram	Bakhtin_fo_1	VrazhdaK
1	и все же	1	5
2	то же время	9	4
3	в то же	6	4
4	в связи с	5	3
5	имел в виду	1	3
6	с точки зрения	2	2
7	как раз в	4	2
8	но в то	1	2
9	в этот момент	1	2
10	не может быть	3	2
11	в том что	2	2
12	а следовательно и	1	1
13	да и в	1	1
14	равно как и	2	1
15	в соответствии с	2	1
16	в том же	1	1
17	на первый план	1	1
18	до сих пор	3	1
19	в мировой литературе	2	1
20	и во многом	1	1
21	в той же	1	1
22	в этом отношении	3	1
23	что в нем	1	1
24	их и не	1	1
25	которого никто не	1	1
26	может быть и	2	1
27	и в то	5	1
28	одно и то	3	1
29	в это время	1	1
30	в момент его	1	1
31	так же как	2	1
32	в высшей степени	1	1
33	и то же	3	1
34	быть и речи	1	1
35	и в этом	1	1
36	и во всей	2	1
37	во всяком случае	1	1
38	и в котором	1	1
39	связи с этим	2	1
40	в литературу в	1	1
41	преступление и наказание	1	1
42	в то время	3	1
43	в свою очередь	1	1
44	о том что	1	1
45	и в самом	1	1
46	но в этом	1	1
