N	2gram	Tiupa_Narr_2	Tvorches
1	и в	13	21
2	как бы	6	17
3	в то	5	15
4	то же	4	13
5	в его	6	13
6	времени в	1	13
7	же время	3	12
8	как и	4	12
9	то есть	9	12
10	что в	4	12
11	м м	1	11
12	с его	3	11
13	том что	13	11
14	в романе	1	10
15	все это	1	10
16	как в	5	8
17	он не	5	8
18	то что	8	8
19	при этом	14	7
20	тем самым	5	7
21	у него	6	7
22	и не	14	7
23	в том	14	7
24	но в	6	7
25	во многом	1	7
26	не только	26	7
27	в свою	2	7
28	по природе	1	6
29	о том	5	6
30	не менее	4	6
31	и все	4	6
32	а в	9	6
33	он сам	2	6
34	жизни в	6	6
35	для него	4	6
36	в этом	13	6
37	xix века	1	6
38	в котором	5	6
39	и его	3	6
40	что он	5	6
41	все же	6	5
42	таким образом	5	5
43	как будто	1	5
44	вовсе не	2	5
45	хотя бы	2	5
46	а не	17	5
47	потому что	2	5
48	отнюдь не	4	5
49	в этой	4	5
50	только в	11	5
51	в своих	2	5
52	может быть	10	5
53	но это	2	5
54	одним из	1	4
55	в целом	3	4
56	прежде всего	6	4
57	самим собой	3	4
58	на эту	1	4
59	в своей	4	4
60	по сути	1	4
61	это не	3	4
62	в финале	1	4
63	времени и	4	4
64	мысли и	1	4
65	конечном счете	3	4
66	одной из	1	4
67	своего рода	9	4
68	и от	1	4
69	один из	3	4
70	свое я	1	4
71	в человеке	1	4
72	в мире	4	4
73	и как	1	4
74	не случайно	2	4
75	в конечном	3	4
76	не может	8	4
77	в своем	6	4
78	в которой	1	3
79	и с	1	3
80	достоевского и	2	3
81	место в	5	3
82	жизни и	4	3
83	говорит о	2	3
84	так же	2	3
85	своих героев	2	3
86	не по	1	3
87	просто не	1	3
88	в виде	2	3
89	с ним	4	3
90	в нем	5	3
91	что все	1	3
92	что я	3	3
93	не существует	1	3
94	со всеми	2	3
95	рассматривать в	1	3
96	на протяжении	5	3
97	действительной жизни	1	3
98	но не	3	3
99	время в	1	3
100	в рассказе	4	3
101	что человек	1	3
102	того что	6	3
103	и т	2	3
104	на самом	2	3
105	время у	1	3
106	но и	15	3
107	и даже	3	3
108	хотя и	5	3
109	человека но	1	3
110	соответствии с	3	3
111	дело не	1	3
112	с ее	1	3
113	это и	1	3
114	ее в	1	3
115	представляет собой	16	3
116	той же	2	3
117	уже не	4	3
118	по мнению	1	3
119	сути дела	1	3
120	в самом	2	3
121	он говорит	1	3
122	далеко не	5	3
123	с другой	5	3
124	к человеку	1	3
125	никогда не	6	3
126	я не	5	3
127	и по	3	3
128	человеческих отношений	1	3
129	в соответствии	3	3
130	не означает	1	2
131	не мог	1	2
132	может не	1	2
133	в себе	8	2
134	не знает	1	2
135	но она	1	2
136	и того	3	2
137	гораздо более	1	2
138	и наконец	1	2
139	данном случае	6	2
140	в него	2	2
141	можно сказать	6	2
142	вместе с	1	2
143	его как	1	2
144	о котором	3	2
145	в литературе	4	2
146	в двух	1	2
147	вслед за	6	2
148	на том	3	2
149	людей и	1	2
150	жизни с	2	2
151	не будет	2	2
152	мира у	1	2
153	в настоящем	2	2
154	это время	1	2
155	т п	2	2
156	личности в	2	2
157	прошлого и	1	2
158	и он	2	2
159	зависит от	2	2
160	ведет к	2	2
161	одновременно и	1	2
162	себя но	2	2
163	где он	1	2
164	героя и	2	2
165	в жизни	6	2
166	и у	4	2
167	него есть	1	2
168	намек на	1	2
169	было в	1	2
170	не в	8	2
171	так что	1	2
172	города в	1	2
173	об этом	4	2
174	так сказать	3	2
175	чувство стыда	1	2
176	то в	1	2
177	ли в	1	2
178	но он	2	2
179	его лица	1	2
180	собой в	1	2
181	отдельного человека	1	2
182	говорит об	1	2
183	есть не	1	2
184	современного человека	1	2
185	человека как	1	2
186	к жизни	1	2
187	в одной	1	2
188	что она	2	2
189	свидетельствует о	4	2
190	приводит к	1	2
